"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2012","2012","Other bacterial diseases","A30-A49",25,626011,4.0
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2012","2012","Renal failure","N17-N19",25,626011,4.0
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2012","2012",,,50,626011,8.0
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2013","2013","Other bacterial diseases","A30-A49",26,626630,4.1
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2013","2013","Renal failure","N17-N19",27,626630,4.3
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2013","2013",,,53,626630,8.5
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2014","2014","Other bacterial diseases","A30-A49",22,626562,3.5
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2014","2014","Renal failure","N17-N19",24,626562,3.8
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2014","2014",,,46,626562,7.3
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2015","2015","Other bacterial diseases","A30-A49",25,626042,4.0
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2015","2015","Renal failure","N17-N19",25,626042,4.0
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2015","2015",,,50,626042,8.0
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2016","2016","Other bacterial diseases","A30-A49",24,624594,3.8
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2016","2016","Renal failure","N17-N19",24,624594,3.8
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2016","2016",,,48,624594,7.7
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2017","2017","Other bacterial diseases","A30-A49",15,623657,Unreliable
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2017","2017","Renal failure","N17-N19",15,623657,Unreliable
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2017","2017",,,30,623657,4.8
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50",,,,,354,5005668,7.1
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2010","2010","Other bacterial diseases","A30-A49",527,8791894,6.0
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2010","2010","Renal failure","N17-N19",528,8791894,6.0
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2010","2010",,,1055,8791894,12.0
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2011","2011","Other bacterial diseases","A30-A49",515,8821155,5.8
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2011","2011","Renal failure","N17-N19",518,8821155,5.9
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2011","2011",,,1033,8821155,11.7
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2012","2012","Other bacterial diseases","A30-A49",478,8864590,5.4
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2012","2012","Renal failure","N17-N19",479,8864590,5.4
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2012","2012",,,957,8864590,10.8
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2013","2013","Other bacterial diseases","A30-A49",534,8899339,6.0
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2013","2013","Renal failure","N17-N19",534,8899339,6.0
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2013","2013",,,1068,8899339,12.0
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2014","2014","Other bacterial diseases","A30-A49",506,8938175,5.7
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2014","2014","Renal failure","N17-N19",507,8938175,5.7
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2014","2014",,,1013,8938175,11.3
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2015","2015","Other bacterial diseases","A30-A49",483,8958013,5.4
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2015","2015","Renal failure","N17-N19",485,8958013,5.4
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2015","2015",,,968,8958013,10.8
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2016","2016","Other bacterial diseases","A30-A49",501,8944469,5.6
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2016","2016","Renal failure","N17-N19",504,8944469,5.6
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2016","2016",,,1005,8944469,11.2
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2017","2017","Other bacterial diseases","A30-A49",494,9005644,5.5
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2017","2017","Renal failure","N17-N19",495,9005644,5.5
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2017","2017",,,989,9005644,11.0
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34",,,,,8088,71223279,11.4
,"Census Region 1: Northeast","CENS-R1","New York","36","2010","2010","Other bacterial diseases","A30-A49",666,19378102,3.4
,"Census Region 1: Northeast","CENS-R1","New York","36","2010","2010","Renal failure","N17-N19",667,19378102,3.4
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2010","2010",,,1333,19378102,6.9
,"Census Region 1: Northeast","CENS-R1","New York","36","2011","2011","Other bacterial diseases","A30-A49",731,19465197,3.8
,"Census Region 1: Northeast","CENS-R1","New York","36","2011","2011","Renal failure","N17-N19",736,19465197,3.8
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2011","2011",,,1467,19465197,7.5
,"Census Region 1: Northeast","CENS-R1","New York","36","2012","2012","Other bacterial diseases","A30-A49",667,19570261,3.4
,"Census Region 1: Northeast","CENS-R1","New York","36","2012","2012","Renal failure","N17-N19",669,19570261,3.4
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2012","2012",,,1336,19570261,6.8
,"Census Region 1: Northeast","CENS-R1","New York","36","2013","2013","Other bacterial diseases","A30-A49",610,19651127,3.1
,"Census Region 1: Northeast","CENS-R1","New York","36","2013","2013","Renal failure","N17-N19",611,19651127,3.1
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2013","2013",,,1221,19651127,6.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2014","2014","Other bacterial diseases","A30-A49",616,19746227,3.1
,"Census Region 1: Northeast","CENS-R1","New York","36","2014","2014","Renal failure","N17-N19",618,19746227,3.1
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2014","2014",,,1234,19746227,6.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2015","2015","Other bacterial diseases","A30-A49",576,19795791,2.9
,"Census Region 1: Northeast","CENS-R1","New York","36","2015","2015","Renal failure","N17-N19",582,19795791,2.9
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2015","2015",,,1158,19795791,5.8
,"Census Region 1: Northeast","CENS-R1","New York","36","2016","2016","Other bacterial diseases","A30-A49",526,19745289,2.7
,"Census Region 1: Northeast","CENS-R1","New York","36","2016","2016","Renal failure","N17-N19",529,19745289,2.7
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2016","2016",,,1055,19745289,5.3
,"Census Region 1: Northeast","CENS-R1","New York","36","2017","2017","Other bacterial diseases","A30-A49",549,19849399,2.8
,"Census Region 1: Northeast","CENS-R1","New York","36","2017","2017","Renal failure","N17-N19",550,19849399,2.8
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2017","2017",,,1099,19849399,5.5
"Total","Census Region 1: Northeast","CENS-R1","New York","36",,,,,9903,157201393,6.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2010","2010","Other bacterial diseases","A30-A49",697,12702379,5.5
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2010","2010","Renal failure","N17-N19",698,12702379,5.5
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2010","2010",,,1395,12702379,11.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2011","2011","Other bacterial diseases","A30-A49",668,12742886,5.2
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2011","2011","Renal failure","N17-N19",671,12742886,5.3
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2011","2011",,,1339,12742886,10.5
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2012","2012","Other bacterial diseases","A30-A49",677,12763536,5.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2012","2012","Renal failure","N17-N19",682,12763536,5.3
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2012","2012",,,1359,12763536,10.6
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2013","2013","Other bacterial diseases","A30-A49",689,12773801,5.4
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2013","2013","Renal failure","N17-N19",691,12773801,5.4
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2013","2013",,,1380,12773801,10.8
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2014","2014","Other bacterial diseases","A30-A49",645,12787209,5.0
