"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2010","2010","Renal failure","N17-N19",20,814180,2.5
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2010","2010",,,40,814180,4.9
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2011","2011","Other bacterial diseases","A30-A49",26,824082,3.2
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2011","2011","Renal failure","N17-N19",26,824082,3.2
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2011","2011",,,52,824082,6.3
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2012","2012","Other bacterial diseases","A30-A49",34,833354,4.1
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2012","2012","Renal failure","N17-N19",34,833354,4.1
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2012","2012",,,68,833354,8.2
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2013","2013","Other bacterial diseases","A30-A49",36,844877,4.3
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2013","2013","Renal failure","N17-N19",36,844877,4.3
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2013","2013",,,72,844877,8.5
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2014","2014","Other bacterial diseases","A30-A49",48,853175,5.6
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2014","2014","Renal failure","N17-N19",47,853175,5.5
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2014","2014",,,95,853175,11.1
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2015","2015","Other bacterial diseases","A30-A49",37,858469,4.3
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2015","2015","Renal failure","N17-N19",38,858469,4.4
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2015","2015",,,75,858469,8.7
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2016","2016","Other bacterial diseases","A30-A49",54,865454,6.2
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2016","2016","Renal failure","N17-N19",54,865454,6.2
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2016","2016",,,108,865454,12.5
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2017","2017","Other bacterial diseases","A30-A49",52,869666,6.0
,"Census Region 2: Midwest","CENS-R2","South Dakota","46","2017","2017","Renal failure","N17-N19",52,869666,6.0
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46","2017","2017",,,104,869666,12.0
"Total","Census Region 2: Midwest","CENS-R2","South Dakota","46",,,,,614,6763257,9.1
"Total","Census Region 2: Midwest","CENS-R2",,,,,,,54725,540723314,10.1
,"Census Region 3: South","CENS-R3","Delaware","10","2010","2010","Other bacterial diseases","A30-A49",53,897934,5.9
,"Census Region 3: South","CENS-R3","Delaware","10","2010","2010","Renal failure","N17-N19",53,897934,5.9
"Total","Census Region 3: South","CENS-R3","Delaware","10","2010","2010",,,106,897934,11.8
,"Census Region 3: South","CENS-R3","Delaware","10","2011","2011","Other bacterial diseases","A30-A49",57,907135,6.3
,"Census Region 3: South","CENS-R3","Delaware","10","2011","2011","Renal failure","N17-N19",57,907135,6.3
"Total","Census Region 3: South","CENS-R3","Delaware","10","2011","2011",,,114,907135,12.6
,"Census Region 3: South","CENS-R3","Delaware","10","2012","2012","Other bacterial diseases","A30-A49",58,917092,6.3
,"Census Region 3: South","CENS-R3","Delaware","10","2012","2012","Renal failure","N17-N19",59,917092,6.4
"Total","Census Region 3: South","CENS-R3","Delaware","10","2012","2012",,,117,917092,12.8
,"Census Region 3: South","CENS-R3","Delaware","10","2013","2013","Other bacterial diseases","A30-A49",65,925749,7.0
,"Census Region 3: South","CENS-R3","Delaware","10","2013","2013","Renal failure","N17-N19",65,925749,7.0
"Total","Census Region 3: South","CENS-R3","Delaware","10","2013","2013",,,130,925749,14.0
,"Census Region 3: South","CENS-R3","Delaware","10","2014","2014","Other bacterial diseases","A30-A49",55,935614,5.9
,"Census Region 3: South","CENS-R3","Delaware","10","2014","2014","Renal failure","N17-N19",56,935614,6.0
"Total","Census Region 3: South","CENS-R3","Delaware","10","2014","2014",,,111,935614,11.9
,"Census Region 3: South","CENS-R3","Delaware","10","2015","2015","Other bacterial diseases","A30-A49",64,945934,6.8
,"Census Region 3: South","CENS-R3","Delaware","10","2015","2015","Renal failure","N17-N19",64,945934,6.8
"Total","Census Region 3: South","CENS-R3","Delaware","10","2015","2015",,,128,945934,13.5
,"Census Region 3: South","CENS-R3","Delaware","10","2016","2016","Other bacterial diseases","A30-A49",76,952065,8.0
,"Census Region 3: South","CENS-R3","Delaware","10","2016","2016","Renal failure","N17-N19",77,952065,8.1
"Total","Census Region 3: South","CENS-R3","Delaware","10","2016","2016",,,153,952065,16.1
,"Census Region 3: South","CENS-R3","Delaware","10","2017","2017","Other bacterial diseases","A30-A49",65,961939,6.8
,"Census Region 3: South","CENS-R3","Delaware","10","2017","2017","Renal failure","N17-N19",66,961939,6.9
"Total","Census Region 3: South","CENS-R3","Delaware","10","2017","2017",,,131,961939,13.6
"Total","Census Region 3: South","CENS-R3","Delaware","10",,,,,990,7443462,13.3
,"Census Region 3: South","CENS-R3","District of Columbia","11","2010","2010","Other bacterial diseases","A30-A49",52,601723,8.6
,"Census Region 3: South","CENS-R3","District of Columbia","11","2010","2010","Renal failure","N17-N19",52,601723,8.6
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2010","2010",,,104,601723,17.3
,"Census Region 3: South","CENS-R3","District of Columbia","11","2011","2011","Other bacterial diseases","A30-A49",30,617996,4.9
,"Census Region 3: South","CENS-R3","District of Columbia","11","2011","2011","Renal failure","N17-N19",30,617996,4.9
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2011","2011",,,60,617996,9.7
,"Census Region 3: South","CENS-R3","District of Columbia","11","2012","2012","Other bacterial diseases","A30-A49",30,632323,4.7
,"Census Region 3: South","CENS-R3","District of Columbia","11","2012","2012","Renal failure","N17-N19",31,632323,4.9
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2012","2012",,,61,632323,9.6
,"Census Region 3: South","CENS-R3","District of Columbia","11","2013","2013","Other bacterial diseases","A30-A49",19,646449,Unreliable
,"Census Region 3: South","CENS-R3","District of Columbia","11","2013","2013","Renal failure","N17-N19",19,646449,Unreliable
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2013","2013",,,38,646449,5.9
,"Census Region 3: South","CENS-R3","District of Columbia","11","2014","2014","Other bacterial diseases","A30-A49",22,658893,3.3
,"Census Region 3: South","CENS-R3","District of Columbia","11","2014","2014","Renal failure","N17-N19",22,658893,3.3
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2014","2014",,,44,658893,6.7
,"Census Region 3: South","CENS-R3","District of Columbia","11","2015","2015","Other bacterial diseases","A30-A49",19,672228,Unreliable
,"Census Region 3: South","CENS-R3","District of Columbia","11","2015","2015","Renal failure","N17-N19",19,672228,Unreliable
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2015","2015",,,38,672228,5.7
,"Census Region 3: South","CENS-R3","District of Columbia","11","2016","2016","Other bacterial diseases","A30-A49",22,681170,3.2
,"Census Region 3: South","CENS-R3","District of Columbia","11","2016","2016","Renal failure","N17-N19",22,681170,3.2
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2016","2016",,,44,681170,6.5
,"Census Region 3: South","CENS-R3","District of Columbia","11","2017","2017","Other bacterial diseases","A30-A49",23,693972,3.3
,"Census Region 3: South","CENS-R3","District of Columbia","11","2017","2017","Renal failure","N17-N19",23,693972,3.3
"Total","Census Region 3: South","CENS-R3","District of Columbia","11","2017","2017",,,46,693972,6.6
"Total","Census Region 3: South","CENS-R3","District of Columbia","11",,,,,435,5204754,8.4
,"Census Region 3: South","CENS-R3","Florida","12","2010","2010","Other bacterial diseases","A30-A49",735,18801310,3.9
,"Census Region 3: South","CENS-R3","Florida","12","2010","2010","Renal failure","N17-N19",739,18801310,3.9
"Total","Census Region 3: South","CENS-R3","Florida","12","2010","2010",,,1474,18801310,7.8
,"Census Region 3: South","CENS-R3","Florida","12","2011","2011","Other bacterial diseases","A30-A49",771,19057542,4.0
,"Census Region 3: South","CENS-R3","Florida","12","2011","2011","Renal failure","N17-N19",773,19057542,4.1
"Total","Census Region 3: South","CENS-R3","Florida","12","2011","2011",,,1544,19057542,8.1
,"Census Region 3: South","CENS-R3","Florida","12","2012","2012","Other bacterial diseases","A30-A49",794,19317568,4.1
,"Census Region 3: South","CENS-R3","Florida","12","2012","2012","Renal failure","N17-N19",795,19317568,4.1
"Total","Census Region 3: South","CENS-R3","Florida","12","2012","2012",,,1589,19317568,8.2
,"Census Region 3: South","CENS-R3","Florida","12","2013","2013","Other bacterial diseases","A30-A49",846,19552860,4.3
,"Census Region 3: South","CENS-R3","Florida","12","2013","2013","Renal failure","N17-N19",847,19552860,4.3
"Total","Census Region 3: South","CENS-R3","Florida","12","2013","2013",,,1693,19552860,8.7
,"Census Region 3: South","CENS-R3","Florida","12","2014","2014","Other bacterial diseases","A30-A49",862,19893297,4.3
,"Census Region 3: South","CENS-R3","Florida","12","2014","2014","Renal failure","N17-N19",868,19893297,4.4
"Total","Census Region 3: South","CENS-R3","Florida","12","2014","2014",,,1730,19893297,8.7
,"Census Region 3: South","CENS-R3","Florida","12","2015","2015","Other bacterial diseases","A30-A49",908,20271272,4.5
,"Census Region 3: South","CENS-R3","Florida","12","2015","2015","Renal failure","N17-N19",913,20271272,4.5
"Total","Census Region 3: South","CENS-R3","Florida","12","2015","2015",,,1821,20271272,9.0
,"Census Region 3: South","CENS-R3","Florida","12","2016","2016","Other bacterial diseases","A30-A49",933,20612439,4.5
,"Census Region 3: South","CENS-R3","Florida","12","2016","2016","Renal failure","N17-N19",940,20612439,4.6
"Total","Census Region 3: South","CENS-R3","Florida","12","2016","2016",,,1873,20612439,9.1
,"Census Region 3: South","CENS-R3","Florida","12","2017","2017","Other bacterial diseases","A30-A49",973,20984400,4.6
,"Census Region 3: South","CENS-R3","Florida","12","2017","2017","Renal failure","N17-N19",982,20984400,4.7
"Total","Census Region 3: South","CENS-R3","Florida","12","2017","2017",,,1955,20984400,9.3
"Total","Census Region 3: South","CENS-R3","Florida","12",,,,,13679,158490688,8.6
,"Census Region 3: South","CENS-R3","Georgia","13","2010","2010","Other bacterial diseases","A30-A49",439,9687653,4.5
,"Census Region 3: South","CENS-R3","Georgia","13","2010","2010","Renal failure","N17-N19",440,9687653,4.5
"Total","Census Region 3: South","CENS-R3","Georgia","13","2010","2010",,,879,9687653,9.1
,"Census Region 3: South","CENS-R3","Georgia","13","2011","2011","Other bacterial diseases","A30-A49",451,9815210,4.6
,"Census Region 3: South","CENS-R3","Georgia","13","2011","2011","Renal failure","N17-N19",452,9815210,4.6
"Total","Census Region 3: South","CENS-R3","Georgia","13","2011","2011",,,903,9815210,9.2
,"Census Region 3: South","CENS-R3","Georgia","13","2012","2012","Other bacterial diseases","A30-A49",411,9919945,4.1
,"Census Region 3: South","CENS-R3","Georgia","13","2012","2012","Renal failure","N17-N19",412,9919945,4.2
"Total","Census Region 3: South","CENS-R3","Georgia","13","2012","2012",,,823,9919945,8.3
,"Census Region 3: South","CENS-R3","Georgia","13","2013","2013","Other bacterial diseases","A30-A49",415,9992167,4.2
,"Census Region 3: South","CENS-R3","Georgia","13","2013","2013","Renal failure","N17-N19",415,9992167,4.2
"Total","Census Region 3: South","CENS-R3","Georgia","13","2013","2013",,,830,9992167,8.3
,"Census Region 3: South","CENS-R3","Georgia","13","2014","2014","Other bacterial diseases","A30-A49",397,10097343,3.9
,"Census Region 3: South","CENS-R3","Georgia","13","2014","2014","Renal failure","N17-N19",397,10097343,3.9
"Total","Census Region 3: South","CENS-R3","Georgia","13","2014","2014",,,794,10097343,7.9
,"Census Region 3: South","CENS-R3","Georgia","13","2015","2015","Other bacterial diseases","A30-A49",372,10214860,3.6
,"Census Region 3: South","CENS-R3","Georgia","13","2015","2015","Renal failure","N17-N19",372,10214860,3.6
"Total","Census Region 3: South","CENS-R3","Georgia","13","2015","2015",,,744,10214860,7.3
,"Census Region 3: South","CENS-R3","Georgia","13","2016","2016","Other bacterial diseases","A30-A49",381,10310371,3.7
,"Census Region 3: South","CENS-R3","Georgia","13","2016","2016","Renal failure","N17-N19",381,10310371,3.7
"Total","Census Region 3: South","CENS-R3","Georgia","13","2016","2016",,,762,10310371,7.4
,"Census Region 3: South","CENS-R3","Georgia","13","2017","2017","Other bacterial diseases","A30-A49",417,10429379,4.0
,"Census Region 3: South","CENS-R3","Georgia","13","2017","2017","Renal failure","N17-N19",419,10429379,4.0
"Total","Census Region 3: South","CENS-R3","Georgia","13","2017","2017",,,836,10429379,8.0
"Total","Census Region 3: South","CENS-R3","Georgia","13",,,,,6571,80466928,8.2
,"Census Region 3: South","CENS-R3","Maryland","24","2010","2010","Other bacterial diseases","A30-A49",336,5773552,5.8
,"Census Region 3: South","CENS-R3","Maryland","24","2010","2010","Renal failure","N17-N19",336,5773552,5.8
"Total","Census Region 3: South","CENS-R3","Maryland","24","2010","2010",,,672,5773552,11.6
,"Census Region 3: South","CENS-R3","Maryland","24","2011","2011","Other bacterial diseases","A30-A49",290,5828289,5.0
,"Census Region 3: South","CENS-R3","Maryland","24","2011","2011","Renal failure","N17-N19",290,5828289,5.0
"Total","Census Region 3: South","CENS-R3","Maryland","24","2011","2011",,,580,5828289,10.0
,"Census Region 3: South","CENS-R3","Maryland","24","2012","2012","Other bacterial diseases","A30-A49",261,5884563,4.4
,"Census Region 3: South","CENS-R3","Maryland","24","2012","2012","Renal failure","N17-N19",261,5884563,4.4
"Total","Census Region 3: South","CENS-R3","Maryland","24","2012","2012",,,522,5884563,8.9
,"Census Region 3: South","CENS-R3","Maryland","24","2013","2013","Other bacterial diseases","A30-A49",303,5928814,5.1
,"Census Region 3: South","CENS-R3","Maryland","24","2013","2013","Renal failure","N17-N19",301,5928814,5.1
"Total","Census Region 3: South","CENS-R3","Maryland","24","2013","2013",,,604,5928814,10.2
,"Census Region 3: South","CENS-R3","Maryland","24","2014","2014","Other bacterial diseases","A30-A49",240,5976407,4.0
,"Census Region 3: South","CENS-R3","Maryland","24","2014","2014","Renal failure","N17-N19",241,5976407,4.0
"Total","Census Region 3: South","CENS-R3","Maryland","24","2014","2014",,,481,5976407,8.0
,"Census Region 3: South","CENS-R3","Maryland","24","2015","2015","Other bacterial diseases","A30-A49",265,6006401,4.4
,"Census Region 3: South","CENS-R3","Maryland","24","2015","2015","Renal failure","N17-N19",266,6006401,4.4
"Total","Census Region 3: South","CENS-R3","Maryland","24","2015","2015",,,531,6006401,8.8
,"Census Region 3: South","CENS-R3","Maryland","24","2016","2016","Other bacterial diseases","A30-A49",240,6016447,4.0
,"Census Region 3: South","CENS-R3","Maryland","24","2016","2016","Renal failure","N17-N19",241,6016447,4.0
"Total","Census Region 3: South","CENS-R3","Maryland","24","2016","2016",,,481,6016447,8.0
,"Census Region 3: South","CENS-R3","Maryland","24","2017","2017","Other bacterial diseases","A30-A49",236,6052177,3.9
,"Census Region 3: South","CENS-R3","Maryland","24","2017","2017","Renal failure","N17-N19",236,6052177,3.9
"Total","Census Region 3: South","CENS-R3","Maryland","24","2017","2017",,,472,6052177,7.8
"Total","Census Region 3: South","CENS-R3","Maryland","24",,,,,4343,47466650,9.1
,"Census Region 3: South","CENS-R3","North Carolina","37","2010","2010","Other bacterial diseases","A30-A49",598,9535483,6.3
,"Census Region 3: South","CENS-R3","North Carolina","37","2010","2010","Renal failure","N17-N19",600,9535483,6.3
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2010","2010",,,1198,9535483,12.6
,"Census Region 3: South","CENS-R3","North Carolina","37","2011","2011","Other bacterial diseases","A30-A49",639,9656401,6.6
,"Census Region 3: South","CENS-R3","North Carolina","37","2011","2011","Renal failure","N17-N19",638,9656401,6.6
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2011","2011",,,1277,9656401,13.2
,"Census Region 3: South","CENS-R3","North Carolina","37","2012","2012","Other bacterial diseases","A30-A49",686,9752073,7.0
,"Census Region 3: South","CENS-R3","North Carolina","37","2012","2012","Renal failure","N17-N19",687,9752073,7.0
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2012","2012",,,1373,9752073,14.1
,"Census Region 3: South","CENS-R3","North Carolina","37","2013","2013","Other bacterial diseases","A30-A49",646,9848060,6.6
,"Census Region 3: South","CENS-R3","North Carolina","37","2013","2013","Renal failure","N17-N19",653,9848060,6.6
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2013","2013",,,1299,9848060,13.2
,"Census Region 3: South","CENS-R3","North Carolina","37","2014","2014","Other bacterial diseases","A30-A49",719,9943964,7.2
,"Census Region 3: South","CENS-R3","North Carolina","37","2014","2014","Renal failure","N17-N19",723,9943964,7.3
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2014","2014",,,1442,9943964,14.5
,"Census Region 3: South","CENS-R3","North Carolina","37","2015","2015","Other bacterial diseases","A30-A49",673,10042802,6.7
,"Census Region 3: South","CENS-R3","North Carolina","37","2015","2015","Renal failure","N17-N19",675,10042802,6.7
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2015","2015",,,1348,10042802,13.4
,"Census Region 3: South","CENS-R3","North Carolina","37","2016","2016","Other bacterial diseases","A30-A49",660,10146788,6.5
,"Census Region 3: South","CENS-R3","North Carolina","37","2016","2016","Renal failure","N17-N19",665,10146788,6.6
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2016","2016",,,1325,10146788,13.1
,"Census Region 3: South","CENS-R3","North Carolina","37","2017","2017","Other bacterial diseases","A30-A49",639,10273419,6.2
,"Census Region 3: South","CENS-R3","North Carolina","37","2017","2017","Renal failure","N17-N19",640,10273419,6.2
"Total","Census Region 3: South","CENS-R3","North Carolina","37","2017","2017",,,1279,10273419,12.4
"Total","Census Region 3: South","CENS-R3","North Carolina","37",,,,,10541,79198990,13.3
,"Census Region 3: South","CENS-R3","South Carolina","45","2010","2010","Other bacterial diseases","A30-A49",327,4625364,7.1
,"Census Region 3: South","CENS-R3","South Carolina","45","2010","2010","Renal failure","N17-N19",329,4625364,7.1
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2010","2010",,,656,4625364,14.2
,"Census Region 3: South","CENS-R3","South Carolina","45","2011","2011","Other bacterial diseases","A30-A49",302,4679230,6.5
,"Census Region 3: South","CENS-R3","South Carolina","45","2011","2011","Renal failure","N17-N19",303,4679230,6.5
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2011","2011",,,605,4679230,12.9
,"Census Region 3: South","CENS-R3","South Carolina","45","2012","2012","Other bacterial diseases","A30-A49",342,4723723,7.2
,"Census Region 3: South","CENS-R3","South Carolina","45","2012","2012","Renal failure","N17-N19",346,4723723,7.3
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2012","2012",,,688,4723723,14.6
,"Census Region 3: South","CENS-R3","South Carolina","45","2013","2013","Other bacterial diseases","A30-A49",387,4774839,8.1
,"Census Region 3: South","CENS-R3","South Carolina","45","2013","2013","Renal failure","N17-N19",396,4774839,8.3
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2013","2013",,,783,4774839,16.4
,"Census Region 3: South","CENS-R3","South Carolina","45","2014","2014","Other bacterial diseases","A30-A49",409,4832482,8.5
,"Census Region 3: South","CENS-R3","South Carolina","45","2014","2014","Renal failure","N17-N19",416,4832482,8.6
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2014","2014",,,825,4832482,17.1
,"Census Region 3: South","CENS-R3","South Carolina","45","2015","2015","Other bacterial diseases","A30-A49",472,4896146,9.6
,"Census Region 3: South","CENS-R3","South Carolina","45","2015","2015","Renal failure","N17-N19",482,4896146,9.8
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2015","2015",,,954,4896146,19.5
,"Census Region 3: South","CENS-R3","South Carolina","45","2016","2016","Other bacterial diseases","A30-A49",474,4961119,9.6
,"Census Region 3: South","CENS-R3","South Carolina","45","2016","2016","Renal failure","N17-N19",501,4961119,10.1
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2016","2016",,,975,4961119,19.7
,"Census Region 3: South","CENS-R3","South Carolina","45","2017","2017","Other bacterial diseases","A30-A49",481,5024369,9.6
,"Census Region 3: South","CENS-R3","South Carolina","45","2017","2017","Renal failure","N17-N19",510,5024369,10.2
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2017","2017",,,991,5024369,19.7
"Total","Census Region 3: South","CENS-R3","South Carolina","45",,,,,6477,38517272,16.8
,"Census Region 3: South","CENS-R3","Virginia","51","2010","2010","Other bacterial diseases","A30-A49",417,8001024,5.2
,"Census Region 3: South","CENS-R3","Virginia","51","2010","2010","Renal failure","N17-N19",415,8001024,5.2
"Total","Census Region 3: South","CENS-R3","Virginia","51","2010","2010",,,832,8001024,10.4
,"Census Region 3: South","CENS-R3","Virginia","51","2011","2011","Other bacterial diseases","A30-A49",378,8096604,4.7
,"Census Region 3: South","CENS-R3","Virginia","51","2011","2011","Renal failure","N17-N19",379,8096604,4.7
"Total","Census Region 3: South","CENS-R3","Virginia","51","2011","2011",,,757,8096604,9.3
,"Census Region 3: South","CENS-R3","Virginia","51","2012","2012","Other bacterial diseases","A30-A49",368,8185867,4.5
,"Census Region 3: South","CENS-R3","Virginia","51","2012","2012","Renal failure","N17-N19",369,8185867,4.5
"Total","Census Region 3: South","CENS-R3","Virginia","51","2012","2012",,,737,8185867,9.0
,"Census Region 3: South","CENS-R3","Virginia","51","2013","2013","Other bacterial diseases","A30-A49",425,8260405,5.1
,"Census Region 3: South","CENS-R3","Virginia","51","2013","2013","Renal failure","N17-N19",424,8260405,5.1
"Total","Census Region 3: South","CENS-R3","Virginia","51","2013","2013",,,849,8260405,10.3
,"Census Region 3: South","CENS-R3","Virginia","51","2014","2014","Other bacterial diseases","A30-A49",377,8326289,4.5
,"Census Region 3: South","CENS-R3","Virginia","51","2014","2014","Renal failure","N17-N19",377,8326289,4.5
"Total","Census Region 3: South","CENS-R3","Virginia","51","2014","2014",,,754,8326289,9.1
,"Census Region 3: South","CENS-R3","Virginia","51","2015","2015","Other bacterial diseases","A30-A49",477,8382993,5.7
,"Census Region 3: South","CENS-R3","Virginia","51","2015","2015","Renal failure","N17-N19",480,8382993,5.7
"Total","Census Region 3: South","CENS-R3","Virginia","51","2015","2015",,,957,8382993,11.4
,"Census Region 3: South","CENS-R3","Virginia","51","2016","2016","Other bacterial diseases","A30-A49",402,8411808,4.8
,"Census Region 3: South","CENS-R3","Virginia","51","2016","2016","Renal failure","N17-N19",403,8411808,4.8
"Total","Census Region 3: South","CENS-R3","Virginia","51","2016","2016",,,805,8411808,9.6
,"Census Region 3: South","CENS-R3","Virginia","51","2017","2017","Other bacterial diseases","A30-A49",409,8470020,4.8
,"Census Region 3: South","CENS-R3","Virginia","51","2017","2017","Renal failure","N17-N19",410,8470020,4.8
"Total","Census Region 3: South","CENS-R3","Virginia","51","2017","2017",,,819,8470020,9.7
"Total","Census Region 3: South","CENS-R3","Virginia","51",,,,,6510,66135010,9.8
,"Census Region 3: South","CENS-R3","West Virginia","54","2010","2010","Other bacterial diseases","A30-A49",105,1852994,5.7
,"Census Region 3: South","CENS-R3","West Virginia","54","2010","2010","Renal failure","N17-N19",105,1852994,5.7
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2010","2010",,,210,1852994,11.3
,"Census Region 3: South","CENS-R3","West Virginia","54","2011","2011","Other bacterial diseases","A30-A49",129,1855364,7.0
,"Census Region 3: South","CENS-R3","West Virginia","54","2011","2011","Renal failure","N17-N19",129,1855364,7.0
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2011","2011",,,258,1855364,13.9
,"Census Region 3: South","CENS-R3","West Virginia","54","2012","2012","Other bacterial diseases","A30-A49",139,1855413,7.5
,"Census Region 3: South","CENS-R3","West Virginia","54","2012","2012","Renal failure","N17-N19",139,1855413,7.5
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2012","2012",,,278,1855413,15.0
,"Census Region 3: South","CENS-R3","West Virginia","54","2013","2013","Other bacterial diseases","A30-A49",115,1854304,6.2
,"Census Region 3: South","CENS-R3","West Virginia","54","2013","2013","Renal failure","N17-N19",115,1854304,6.2
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2013","2013",,,230,1854304,12.4
,"Census Region 3: South","CENS-R3","West Virginia","54","2014","2014","Other bacterial diseases","A30-A49",165,1850326,8.9
,"Census Region 3: South","CENS-R3","West Virginia","54","2014","2014","Renal failure","N17-N19",166,1850326,9.0
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2014","2014",,,331,1850326,17.9
,"Census Region 3: South","CENS-R3","West Virginia","54","2015","2015","Other bacterial diseases","A30-A49",168,1844128,9.1
,"Census Region 3: South","CENS-R3","West Virginia","54","2015","2015","Renal failure","N17-N19",168,1844128,9.1
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2015","2015",,,336,1844128,18.2
,"Census Region 3: South","CENS-R3","West Virginia","54","2016","2016","Other bacterial diseases","A30-A49",158,1831102,8.6
,"Census Region 3: South","CENS-R3","West Virginia","54","2016","2016","Renal failure","N17-N19",159,1831102,8.7
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2016","2016",,,317,1831102,17.3
,"Census Region 3: South","CENS-R3","West Virginia","54","2017","2017","Other bacterial diseases","A30-A49",127,1815857,7.0
,"Census Region 3: South","CENS-R3","West Virginia","54","2017","2017","Renal failure","N17-N19",128,1815857,7.0
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2017","2017",,,255,1815857,14.0
"Total","Census Region 3: South","CENS-R3","West Virginia","54",,,,,2215,14759488,15.0
,"Census Region 3: South","CENS-R3","Alabama","01","2010","2010","Other bacterial diseases","A30-A49",320,4779736,6.7
,"Census Region 3: South","CENS-R3","Alabama","01","2010","2010","Renal failure","N17-N19",319,4779736,6.7
"Total","Census Region 3: South","CENS-R3","Alabama","01","2010","2010",,,639,4779736,13.4
,"Census Region 3: South","CENS-R3","Alabama","01","2011","2011","Other bacterial diseases","A30-A49",335,4802740,7.0
,"Census Region 3: South","CENS-R3","Alabama","01","2011","2011","Renal failure","N17-N19",336,4802740,7.0
"Total","Census Region 3: South","CENS-R3","Alabama","01","2011","2011",,,671,4802740,14.0
,"Census Region 3: South","CENS-R3","Alabama","01","2012","2012","Other bacterial diseases","A30-A49",324,4822023,6.7
,"Census Region 3: South","CENS-R3","Alabama","01","2012","2012","Renal failure","N17-N19",327,4822023,6.8
"Total","Census Region 3: South","CENS-R3","Alabama","01","2012","2012",,,651,4822023,13.5
,"Census Region 3: South","CENS-R3","Alabama","01","2013","2013","Other bacterial diseases","A30-A49",301,4833722,6.2
,"Census Region 3: South","CENS-R3","Alabama","01","2013","2013","Renal failure","N17-N19",302,4833722,6.2
"Total","Census Region 3: South","CENS-R3","Alabama","01","2013","2013",,,603,4833722,12.5
,"Census Region 3: South","CENS-R3","Alabama","01","2014","2014","Other bacterial diseases","A30-A49",288,4849377,5.9
,"Census Region 3: South","CENS-R3","Alabama","01","2014","2014","Renal failure","N17-N19",291,4849377,6.0
"Total","Census Region 3: South","CENS-R3","Alabama","01","2014","2014",,,579,4849377,11.9
,"Census Region 3: South","CENS-R3","Alabama","01","2015","2015","Other bacterial diseases","A30-A49",302,4858979,6.2
,"Census Region 3: South","CENS-R3","Alabama","01","2015","2015","Renal failure","N17-N19",303,4858979,6.2
"Total","Census Region 3: South","CENS-R3","Alabama","01","2015","2015",,,605,4858979,12.5
