"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"2013","2013","Other bacterial diseases","A30-A49","75-79 years","75-79",21330,7677881,277.8
,"2013","2013","Other bacterial diseases","A30-A49","80-84 years","80-84",24475,5768638,424.3
,"2013","2013","Other bacterial diseases","A30-A49","85-89 years","85-89",24516,Not Applicable,Not Applicable
,"2013","2013","Other bacterial diseases","A30-A49","90-94 years","90-94",15672,Not Applicable,Not Applicable
,"2013","2013","Other bacterial diseases","A30-A49","95-99 years","95-99",5246,Not Applicable,Not Applicable
,"2013","2013","Other bacterial diseases","A30-A49","100+ years","100+",886,Not Applicable,Not Applicable
,"2014","2014","Other bacterial diseases","A30-A49","< 1 year","1",421,3948350,10.7
,"2014","2014","Other bacterial diseases","A30-A49","1-4 years","1-4",170,15928533,1.1
,"2014","2014","Other bacterial diseases","A30-A49","5-9 years","5-9",104,20519566,0.5
,"2014","2014","Other bacterial diseases","A30-A49","10-14 years","10-14",130,20671506,0.6
,"2014","2014","Other bacterial diseases","A30-A49","15-19 years","15-19",208,21067647,1.0
,"2014","2014","Other bacterial diseases","A30-A49","20-24 years","20-24",523,22912174,2.3
,"2014","2014","Other bacterial diseases","A30-A49","25-29 years","25-29",703,21987938,3.2
,"2014","2014","Other bacterial diseases","A30-A49","30-34 years","30-34",1094,21528566,5.1
,"2014","2014","Other bacterial diseases","A30-A49","35-39 years","35-39",1611,19921650,8.1
,"2014","2014","Other bacterial diseases","A30-A49","40-44 years","40-44",2583,20591483,12.5
,"2014","2014","Other bacterial diseases","A30-A49","45-49 years","45-49",4483,20888042,21.5
,"2014","2014","Other bacterial diseases","A30-A49","50-54 years","50-54",8064,22570809,35.7
,"2014","2014","Other bacterial diseases","A30-A49","55-59 years","55-59",12245,21511449,56.9
,"2014","2014","Other bacterial diseases","A30-A49","60-64 years ","60-64",15735,18566132,84.8
,"2014","2014","Other bacterial diseases","A30-A49","65-69 years","65-69",18754,15325266,122.4
,"2014","2014","Other bacterial diseases","A30-A49","70-74 years","70-74",20468,11073024,184.8
,"2014","2014","Other bacterial diseases","A30-A49","75-79 years","75-79",22214,7922324,280.4
,"2014","2014","Other bacterial diseases","A30-A49","80-84 years","80-84",24525,5760366,425.8
,"2014","2014","Other bacterial diseases","A30-A49","85-89 years","85-89",24940,Not Applicable,Not Applicable
,"2014","2014","Other bacterial diseases","A30-A49","90-94 years","90-94",16792,Not Applicable,Not Applicable
,"2014","2014","Other bacterial diseases","A30-A49","95-99 years","95-99",5513,Not Applicable,Not Applicable
,"2014","2014","Other bacterial diseases","A30-A49","100+ years","100+",953,Not Applicable,Not Applicable
,"2015","2015","Other bacterial diseases","A30-A49","< 1 year","1",464,3978038,11.7
,"2015","2015","Other bacterial diseases","A30-A49","1-4 years","1-4",207,15929243,1.3
,"2015","2015","Other bacterial diseases","A30-A49","5-9 years","5-9",112,20487176,0.5
,"2015","2015","Other bacterial diseases","A30-A49","10-14 years","10-14",137,20622330,0.7
,"2015","2015","Other bacterial diseases","A30-A49","15-19 years","15-19",217,21108903,1.0
,"2015","2015","Other bacterial diseases","A30-A49","20-24 years","20-24",489,22739313,2.2
,"2015","2015","Other bacterial diseases","A30-A49","25-29 years","25-29",762,22461554,3.4
,"2015","2015","Other bacterial diseases","A30-A49","30-34 years","30-34",1234,21675648,5.7
,"2015","2015","Other bacterial diseases","A30-A49","35-39 years","35-39",1550,20374585,7.6
,"2015","2015","Other bacterial diseases","A30-A49","40-44 years","40-44",2686,20215198,13.3
,"2015","2015","Other bacterial diseases","A30-A49","45-49 years","45-49",4580,20853844,22.0
,"2015","2015","Other bacterial diseases","A30-A49","50-54 years","50-54",8265,22334317,37.0
,"2015","2015","Other bacterial diseases","A30-A49","55-59 years","55-59",12710,21807942,58.3
,"2015","2015","Other bacterial diseases","A30-A49","60-64 years ","60-64",16702,19069877,87.6
,"2015","2015","Other bacterial diseases","A30-A49","65-69 years","65-69",20594,16067468,128.2
,"2015","2015","Other bacterial diseases","A30-A49","70-74 years","70-74",22077,11483049,192.3
,"2015","2015","Other bacterial diseases","A30-A49","75-79 years","75-79",24068,8123833,296.3
,"2015","2015","Other bacterial diseases","A30-A49","80-84 years","80-84",25939,5799341,447.3
,"2015","2015","Other bacterial diseases","A30-A49","85-89 years","85-89",26796,Not Applicable,Not Applicable
,"2015","2015","Other bacterial diseases","A30-A49","90-94 years","90-94",18404,Not Applicable,Not Applicable
,"2015","2015","Other bacterial diseases","A30-A49","95-99 years","95-99",6172,Not Applicable,Not Applicable
,"2015","2015","Other bacterial diseases","A30-A49","100+ years","100+",1041,Not Applicable,Not Applicable
,"2016","2016","Other bacterial diseases","A30-A49","< 1 year","1",505,3970145,12.7
,"2016","2016","Other bacterial diseases","A30-A49","1-4 years","1-4",230,15956892,1.4
,"2016","2016","Other bacterial diseases","A30-A49","5-9 years","5-9",154,20429799,0.8
,"2016","2016","Other bacterial diseases","A30-A49","10-14 years","10-14",128,20618233,0.6
,"2016","2016","Other bacterial diseases","A30-A49","15-19 years","15-19",260,21129999,1.2
,"2016","2016","Other bacterial diseases","A30-A49","20-24 years","20-24",537,22381028,2.4
,"2016","2016","Other bacterial diseases","A30-A49","25-29 years","25-29",874,22890884,3.8
,"2016","2016","Other bacterial diseases","A30-A49","30-34 years","30-34",1252,21786359,5.7
,"2016","2016","Other bacterial diseases","A30-A49","35-39 years","35-39",1820,20773905,8.8
,"2016","2016","Other bacterial diseases","A30-A49","40-44 years","40-44",2719,19696251,13.8
,"2016","2016","Other bacterial diseases","A30-A49","45-49 years","45-49",4555,20947623,21.7
,"2016","2016","Other bacterial diseases","A30-A49","50-54 years","50-54",8182,21839056,37.5
,"2016","2016","Other bacterial diseases","A30-A49","55-59 years","55-59",13197,21980108,60.0
,"2016","2016","Other bacterial diseases","A30-A49","60-64 years ","60-64",17384,19483036,89.2
,"2016","2016","Other bacterial diseases","A30-A49","65-69 years","65-69",21637,16820083,128.6
,"2016","2016","Other bacterial diseases","A30-A49","70-74 years","70-74",22734,11810247,192.5
,"2016","2016","Other bacterial diseases","A30-A49","75-79 years","75-79",24278,8367895,290.1
,"2016","2016","Other bacterial diseases","A30-A49","80-84 years","80-84",25926,5865639,442.0
,"2016","2016","Other bacterial diseases","A30-A49","85-89 years","85-89",26299,Not Applicable,Not Applicable
