"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2012","2012",,,6228,8864590,70.3,60.1
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2013","2013","Other bacterial diseases","A30-A49",6384,8899339,71.7,60.6
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2013","2013",,,6384,8899339,71.7,60.6
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2014","2014","Other bacterial diseases","A30-A49",6463,8938175,72.3,60.2
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2014","2014",,,6463,8938175,72.3,60.2
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2015","2015","Other bacterial diseases","A30-A49",6526,8958013,72.9,60.0
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2015","2015",,,6526,8958013,72.9,60.0
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2016","2016","Other bacterial diseases","A30-A49",6579,8944469,73.6,60.0
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2016","2016",,,6579,8944469,73.6,60.0
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2017","2017","Other bacterial diseases","A30-A49",6480,9005644,72.0,57.4
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2017","2017",,,6480,9005644,72.0,57.4
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34",,,,,51308,71223279,72.0,60.4
,"Census Region 1: Northeast","CENS-R1","New York","36","2010","2010","Other bacterial diseases","A30-A49",9813,19378102,50.6,44.7
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2010","2010",,,9813,19378102,50.6,44.7
,"Census Region 1: Northeast","CENS-R1","New York","36","2011","2011","Other bacterial diseases","A30-A49",10181,19465197,52.3,45.4
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2011","2011",,,10181,19465197,52.3,45.4
,"Census Region 1: Northeast","CENS-R1","New York","36","2012","2012","Other bacterial diseases","A30-A49",10085,19570261,51.5,44.2
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2012","2012",,,10085,19570261,51.5,44.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2013","2013","Other bacterial diseases","A30-A49",10837,19651127,55.1,46.7
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2013","2013",,,10837,19651127,55.1,46.7
