"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 3: South","CENS-R3","South Carolina","45","2016","2016","Other bacterial diseases","A30-A49",4098,4961119,82.6,69.2
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2016","2016",,,4098,4961119,82.6,69.2
,"Census Region 3: South","CENS-R3","South Carolina","45","2017","2017","Other bacterial diseases","A30-A49",4141,5024369,82.4,67.3
"Total","Census Region 3: South","CENS-R3","South Carolina","45","2017","2017",,,4141,5024369,82.4,67.3
"Total","Census Region 3: South","CENS-R3","South Carolina","45",,,,,27829,38517272,72.3,63.2
,"Census Region 3: South","CENS-R3","Virginia","51","2010","2010","Other bacterial diseases","A30-A49",4305,8001024,53.8,54.2
"Total","Census Region 3: South","CENS-R3","Virginia","51","2010","2010",,,4305,8001024,53.8,54.2
,"Census Region 3: South","CENS-R3","Virginia","51","2011","2011","Other bacterial diseases","A30-A49",4541,8096604,56.1,55.4
"Total","Census Region 3: South","CENS-R3","Virginia","51","2011","2011",,,4541,8096604,56.1,55.4
,"Census Region 3: South","CENS-R3","Virginia","51","2012","2012","Other bacterial diseases","A30-A49",4418,8185867,54.0,52.4
"Total","Census Region 3: South","CENS-R3","Virginia","51","2012","2012",,,4418,8185867,54.0,52.4
,"Census Region 3: South","CENS-R3","Virginia","51","2013","2013","Other bacterial diseases","A30-A49",4930,8260405,59.7,56.7
"Total","Census Region 3: South","CENS-R3","Virginia","51","2013","2013",,,4930,8260405,59.7,56.7
,"Census Region 3: South","CENS-R3","Virginia","51","2014","2014","Other bacterial diseases","A30-A49",4833,8326289,58.0,54.4
"Total","Census Region 3: South","CENS-R3","Virginia","51","2014","2014",,,4833,8326289,58.0,54.4
,"Census Region 3: South","CENS-R3","Virginia","51","2015","2015","Other bacterial diseases","A30-A49",5238,8382993,62.5,57.1
"Total","Census Region 3: South","CENS-R3","Virginia","51","2015","2015",,,5238,8382993,62.5,57.1
,"Census Region 3: South","CENS-R3","Virginia","51","2016","2016","Other bacterial diseases","A30-A49",5240,8411808,62.3,55.8
"Total","Census Region 3: South","CENS-R3","Virginia","51","2016","2016",,,5240,8411808,62.3,55.8
,"Census Region 3: South","CENS-R3","Virginia","51","2017","2017","Other bacterial diseases","A30-A49",5135,8470020,60.6,53.3
"Total","Census Region 3: South","CENS-R3","Virginia","51","2017","2017",,,5135,8470020,60.6,53.3
"Total","Census Region 3: South","CENS-R3","Virginia","51",,,,,38640,66135010,58.4,54.9
,"Census Region 3: South","CENS-R3","West Virginia","54","2010","2010","Other bacterial diseases","A30-A49",1419,1852994,76.6,61.0
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2010","2010",,,1419,1852994,76.6,61.0
,"Census Region 3: South","CENS-R3","West Virginia","54","2011","2011","Other bacterial diseases","A30-A49",1479,1855364,79.7,63.5
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2011","2011",,,1479,1855364,79.7,63.5
,"Census Region 3: South","CENS-R3","West Virginia","54","2012","2012","Other bacterial diseases","A30-A49",1476,1855413,79.6,62.1
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2012","2012",,,1476,1855413,79.6,62.1
,"Census Region 3: South","CENS-R3","West Virginia","54","2013","2013","Other bacterial diseases","A30-A49",1507,1854304,81.3,63.0
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2013","2013",,,1507,1854304,81.3,63.0
,"Census Region 3: South","CENS-R3","West Virginia","54","2014","2014","Other bacterial diseases","A30-A49",1635,1850326,88.4,66.5
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2014","2014",,,1635,1850326,88.4,66.5
,"Census Region 3: South","CENS-R3","West Virginia","54","2015","2015","Other bacterial diseases","A30-A49",1804,1844128,97.8,72.4
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2015","2015",,,1804,1844128,97.8,72.4
,"Census Region 3: South","CENS-R3","West Virginia","54","2016","2016","Other bacterial diseases","A30-A49",1879,1831102,102.6,75.9
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2016","2016",,,1879,1831102,102.6,75.9
,"Census Region 3: South","CENS-R3","West Virginia","54","2017","2017","Other bacterial diseases","A30-A49",1943,1815857,107.0,77.1
"Total","Census Region 3: South","CENS-R3","West Virginia","54","2017","2017",,,1943,1815857,107.0,77.1
"Total","Census Region 3: South","CENS-R3","West Virginia","54",,,,,13142,14759488,89.0,67.8
,"Census Region 3: South","CENS-R3","Alabama","01","2010","2010","Other bacterial diseases","A30-A49",3033,4779736,63.5,58.6
"Total","Census Region 3: South","CENS-R3","Alabama","01","2010","2010",,,3033,4779736,63.5,58.6
,"Census Region 3: South","CENS-R3","Alabama","01","2011","2011","Other bacterial diseases","A30-A49",3022,4802740,62.9,56.9
"Total","Census Region 3: South","CENS-R3","Alabama","01","2011","2011",,,3022,4802740,62.9,56.9
,"Census Region 3: South","CENS-R3","Alabama","01","2012","2012","Other bacterial diseases","A30-A49",3145,4822023,65.2,58.2
"Total","Census Region 3: South","CENS-R3","Alabama","01","2012","2012",,,3145,4822023,65.2,58.2
,"Census Region 3: South","CENS-R3","Alabama","01","2013","2013","Other bacterial diseases","A30-A49",3248,4833722,67.2,58.6
"Total","Census Region 3: South","CENS-R3","Alabama","01","2013","2013",,,3248,4833722,67.2,58.6
,"Census Region 3: South","CENS-R3","Alabama","01","2014","2014","Other bacterial diseases","A30-A49",3424,4849377,70.6,60.9
"Total","Census Region 3: South","CENS-R3","Alabama","01","2014","2014",,,3424,4849377,70.6,60.9
,"Census Region 3: South","CENS-R3","Alabama","01","2015","2015","Other bacterial diseases","A30-A49",3506,4858979,72.2,61.2
"Total","Census Region 3: South","CENS-R3","Alabama","01","2015","2015",,,3506,4858979,72.2,61.2
,"Census Region 3: South","CENS-R3","Alabama","01","2016","2016","Other bacterial diseases","A30-A49",3754,4863300,77.2,64.5
"Total","Census Region 3: South","CENS-R3","Alabama","01","2016","2016",,,3754,4863300,77.2,64.5
,"Census Region 3: South","CENS-R3","Alabama","01","2017","2017","Other bacterial diseases","A30-A49",3912,4874747,80.3,65.7
"Total","Census Region 3: South","CENS-R3","Alabama","01","2017","2017",,,3912,4874747,80.3,65.7
"Total","Census Region 3: South","CENS-R3","Alabama","01",,,,,27044,38684624,69.9,60.7
,"Census Region 3: South","CENS-R3","Kentucky","21","2010","2010","Other bacterial diseases","A30-A49",2960,4339367,68.2,63.9
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2010","2010",,,2960,4339367,68.2,63.9
,"Census Region 3: South","CENS-R3","Kentucky","21","2011","2011","Other bacterial diseases","A30-A49",2988,4369356,68.4,63.1
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2011","2011",,,2988,4369356,68.4,63.1
,"Census Region 3: South","CENS-R3","Kentucky","21","2012","2012","Other bacterial diseases","A30-A49",2954,4380415,67.4,61.1
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2012","2012",,,2954,4380415,67.4,61.1
,"Census Region 3: South","CENS-R3","Kentucky","21","2013","2013","Other bacterial diseases","A30-A49",2962,4395295,67.4,59.9
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2013","2013",,,2962,4395295,67.4,59.9
,"Census Region 3: South","CENS-R3","Kentucky","21","2014","2014","Other bacterial diseases","A30-A49",3382,4413457,76.6,67.3
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2014","2014",,,3382,4413457,76.6,67.3
,"Census Region 3: South","CENS-R3","Kentucky","21","2015","2015","Other bacterial diseases","A30-A49",3869,4425092,87.4,75.6
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2015","2015",,,3869,4425092,87.4,75.6
,"Census Region 3: South","CENS-R3","Kentucky","21","2016","2016","Other bacterial diseases","A30-A49",4049,4436974,91.3,77.8
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2016","2016",,,4049,4436974,91.3,77.8
,"Census Region 3: South","CENS-R3","Kentucky","21","2017","2017","Other bacterial diseases","A30-A49",4448,4454189,99.9,83.7
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2017","2017",,,4448,4454189,99.9,83.7
"Total","Census Region 3: South","CENS-R3","Kentucky","21",,,,,27612,35214145,78.4,69.3
,"Census Region 3: South","CENS-R3","Mississippi","28","2010","2010","Other bacterial diseases","A30-A49",1970,2967297,66.4,65.3
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2010","2010",,,1970,2967297,66.4,65.3
,"Census Region 3: South","CENS-R3","Mississippi","28","2011","2011","Other bacterial diseases","A30-A49",2014,2978512,67.6,65.2
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2011","2011",,,2014,2978512,67.6,65.2
,"Census Region 3: South","CENS-R3","Mississippi","28","2012","2012","Other bacterial diseases","A30-A49",2050,2984926,68.7,64.7
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2012","2012",,,2050,2984926,68.7,64.7
,"Census Region 3: South","CENS-R3","Mississippi","28","2013","2013","Other bacterial diseases","A30-A49",2428,2991207,81.2,74.9
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2013","2013",,,2428,2991207,81.2,74.9
,"Census Region 3: South","CENS-R3","Mississippi","28","2014","2014","Other bacterial diseases","A30-A49",2531,2994079,84.5,76.8
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2014","2014",,,2531,2994079,84.5,76.8
,"Census Region 3: South","CENS-R3","Mississippi","28","2015","2015","Other bacterial diseases","A30-A49",2694,2992333,90.0,80.4
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2015","2015",,,2694,2992333,90.0,80.4
,"Census Region 3: South","CENS-R3","Mississippi","28","2016","2016","Other bacterial diseases","A30-A49",2743,2988726,91.8,81.0
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2016","2016",,,2743,2988726,91.8,81.0
,"Census Region 3: South","CENS-R3","Mississippi","28","2017","2017","Other bacterial diseases","A30-A49",2701,2984100,90.5,78.3
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2017","2017",,,2701,2984100,90.5,78.3
"Total","Census Region 3: South","CENS-R3","Mississippi","28",,,,,19131,23881180,80.1,73.5
,"Census Region 3: South","CENS-R3","Tennessee","47","2010","2010","Other bacterial diseases","A30-A49",3879,6346105,61.1,57.3
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2010","2010",,,3879,6346105,61.1,57.3
,"Census Region 3: South","CENS-R3","Tennessee","47","2011","2011","Other bacterial diseases","A30-A49",3846,6403353,60.1,55.4
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2011","2011",,,3846,6403353,60.1,55.4
,"Census Region 3: South","CENS-R3","Tennessee","47","2012","2012","Other bacterial diseases","A30-A49",4053,6456243,62.8,57.3
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2012","2012",,,4053,6456243,62.8,57.3
,"Census Region 3: South","CENS-R3","Tennessee","47","2013","2013","Other bacterial diseases","A30-A49",4209,6495978,64.8,57.8
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2013","2013",,,4209,6495978,64.8,57.8
,"Census Region 3: South","CENS-R3","Tennessee","47","2014","2014","Other bacterial diseases","A30-A49",4466,6549352,68.2,60.0
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2014","2014",,,4466,6549352,68.2,60.0
,"Census Region 3: South","CENS-R3","Tennessee","47","2015","2015","Other bacterial diseases","A30-A49",4800,6600299,72.7,63.2
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2015","2015",,,4800,6600299,72.7,63.2
,"Census Region 3: South","CENS-R3","Tennessee","47","2016","2016","Other bacterial diseases","A30-A49",4853,6651194,73.0,62.2
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2016","2016",,,4853,6651194,73.0,62.2
,"Census Region 3: South","CENS-R3","Tennessee","47","2017","2017","Other bacterial diseases","A30-A49",5252,6715984,78.2,65.8
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2017","2017",,,5252,6715984,78.2,65.8
"Total","Census Region 3: South","CENS-R3","Tennessee","47",,,,,35358,52218508,67.7,60.0
,"Census Region 3: South","CENS-R3","Arkansas","05","2010","2010","Other bacterial diseases","A30-A49",1757,2915918,60.3,53.9
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2010","2010",,,1757,2915918,60.3,53.9
,"Census Region 3: South","CENS-R3","Arkansas","05","2011","2011","Other bacterial diseases","A30-A49",1795,2937979,61.1,53.7
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2011","2011",,,1795,2937979,61.1,53.7
,"Census Region 3: South","CENS-R3","Arkansas","05","2012","2012","Other bacterial diseases","A30-A49",1912,2949131,64.8,56.5
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2012","2012",,,1912,2949131,64.8,56.5
,"Census Region 3: South","CENS-R3","Arkansas","05","2013","2013","Other bacterial diseases","A30-A49",2120,2959373,71.6,61.8
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2013","2013",,,2120,2959373,71.6,61.8
,"Census Region 3: South","CENS-R3","Arkansas","05","2014","2014","Other bacterial diseases","A30-A49",2266,2966369,76.4,64.9
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2014","2014",,,2266,2966369,76.4,64.9
,"Census Region 3: South","CENS-R3","Arkansas","05","2015","2015","Other bacterial diseases","A30-A49",2417,2978204,81.2,68.1
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2015","2015",,,2417,2978204,81.2,68.1
,"Census Region 3: South","CENS-R3","Arkansas","05","2016","2016","Other bacterial diseases","A30-A49",2355,2988248,78.8,65.3
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2016","2016",,,2355,2988248,78.8,65.3
,"Census Region 3: South","CENS-R3","Arkansas","05","2017","2017","Other bacterial diseases","A30-A49",2557,3004279,85.1,69.5
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2017","2017",,,2557,3004279,85.1,69.5
"Total","Census Region 3: South","CENS-R3","Arkansas","05",,,,,17179,23699501,72.5,61.9
,"Census Region 3: South","CENS-R3","Louisiana","22","2010","2010","Other bacterial diseases","A30-A49",2885,4533372,63.6,64.1
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2010","2010",,,2885,4533372,63.6,64.1
,"Census Region 3: South","CENS-R3","Louisiana","22","2011","2011","Other bacterial diseases","A30-A49",2768,4574836,60.5,60.1
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2011","2011",,,2768,4574836,60.5,60.1
,"Census Region 3: South","CENS-R3","Louisiana","22","2012","2012","Other bacterial diseases","A30-A49",2959,4601893,64.3,62.8
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2012","2012",,,2959,4601893,64.3,62.8
,"Census Region 3: South","CENS-R3","Louisiana","22","2013","2013","Other bacterial diseases","A30-A49",3081,4625470,66.6,63.2
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2013","2013",,,3081,4625470,66.6,63.2
,"Census Region 3: South","CENS-R3","Louisiana","22","2014","2014","Other bacterial diseases","A30-A49",3146,4649676,67.7,63.6
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2014","2014",,,3146,4649676,67.7,63.6
,"Census Region 3: South","CENS-R3","Louisiana","22","2015","2015","Other bacterial diseases","A30-A49",3290,4670724,70.4,65.3
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2015","2015",,,3290,4670724,70.4,65.3
,"Census Region 3: South","CENS-R3","Louisiana","22","2016","2016","Other bacterial diseases","A30-A49",3274,4681666,69.9,63.4
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2016","2016",,,3274,4681666,69.9,63.4
,"Census Region 3: South","CENS-R3","Louisiana","22","2017","2017","Other bacterial diseases","A30-A49",3593,4684333,76.7,68.2
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2017","2017",,,3593,4684333,76.7,68.2
"Total","Census Region 3: South","CENS-R3","Louisiana","22",,,,,24996,37021970,67.5,63.9
,"Census Region 3: South","CENS-R3","Oklahoma","40","2010","2010","Other bacterial diseases","A30-A49",2393,3751351,63.8,59.4
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2010","2010",,,2393,3751351,63.8,59.4
,"Census Region 3: South","CENS-R3","Oklahoma","40","2011","2011","Other bacterial diseases","A30-A49",2366,3791508,62.4,57.4
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2011","2011",,,2366,3791508,62.4,57.4
,"Census Region 3: South","CENS-R3","Oklahoma","40","2012","2012","Other bacterial diseases","A30-A49",2416,3814820,63.3,58.0
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2012","2012",,,2416,3814820,63.3,58.0
,"Census Region 3: South","CENS-R3","Oklahoma","40","2013","2013","Other bacterial diseases","A30-A49",2477,3850568,64.3,58.2
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2013","2013",,,2477,3850568,64.3,58.2
,"Census Region 3: South","CENS-R3","Oklahoma","40","2014","2014","Other bacterial diseases","A30-A49",2604,3878051,67.1,60.1
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2014","2014",,,2604,3878051,67.1,60.1
,"Census Region 3: South","CENS-R3","Oklahoma","40","2015","2015","Other bacterial diseases","A30-A49",2828,3911338,72.3,64.3
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2015","2015",,,2828,3911338,72.3,64.3
,"Census Region 3: South","CENS-R3","Oklahoma","40","2016","2016","Other bacterial diseases","A30-A49",3152,3923561,80.3,70.5
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2016","2016",,,3152,3923561,80.3,70.5
,"Census Region 3: South","CENS-R3","Oklahoma","40","2017","2017","Other bacterial diseases","A30-A49",3267,3930864,83.1,71.4
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2017","2017",,,3267,3930864,83.1,71.4
"Total","Census Region 3: South","CENS-R3","Oklahoma","40",,,,,21503,30852061,69.7,62.6
,"Census Region 3: South","CENS-R3","Texas","48","2010","2010","Other bacterial diseases","A30-A49",13009,25145561,51.7,60.1
"Total","Census Region 3: South","CENS-R3","Texas","48","2010","2010",,,13009,25145561,51.7,60.1
,"Census Region 3: South","CENS-R3","Texas","48","2011","2011","Other bacterial diseases","A30-A49",13717,25674681,53.4,61.2
"Total","Census Region 3: South","CENS-R3","Texas","48","2011","2011",,,13717,25674681,53.4,61.2
,"Census Region 3: South","CENS-R3","Texas","48","2012","2012","Other bacterial diseases","A30-A49",14045,26059203,53.9,60.6
"Total","Census Region 3: South","CENS-R3","Texas","48","2012","2012",,,14045,26059203,53.9,60.6
,"Census Region 3: South","CENS-R3","Texas","48","2013","2013","Other bacterial diseases","A30-A49",14900,26448193,56.3,62.3
"Total","Census Region 3: South","CENS-R3","Texas","48","2013","2013",,,14900,26448193,56.3,62.3
,"Census Region 3: South","CENS-R3","Texas","48","2014","2014","Other bacterial diseases","A30-A49",16029,26956958,59.5,64.5
"Total","Census Region 3: South","CENS-R3","Texas","48","2014","2014",,,16029,26956958,59.5,64.5
,"Census Region 3: South","CENS-R3","Texas","48","2015","2015","Other bacterial diseases","A30-A49",17245,27469114,62.8,67.3
"Total","Census Region 3: South","CENS-R3","Texas","48","2015","2015",,,17245,27469114,62.8,67.3
,"Census Region 3: South","CENS-R3","Texas","48","2016","2016","Other bacterial diseases","A30-A49",17363,27862596,62.3,65.6
"Total","Census Region 3: South","CENS-R3","Texas","48","2016","2016",,,17363,27862596,62.3,65.6
,"Census Region 3: South","CENS-R3","Texas","48","2017","2017","Other bacterial diseases","A30-A49",17955,28304596,63.4,66.1
"Total","Census Region 3: South","CENS-R3","Texas","48","2017","2017",,,17955,28304596,63.4,66.1
"Total","Census Region 3: South","CENS-R3","Texas","48",,,,,124263,213920902,58.1,63.6
"Total","Census Region 3: South","CENS-R3",,,,,,,592827,953176133,62.2,56.1
,"Census Region 4: West","CENS-R4","Arizona","04","2010","2010","Other bacterial diseases","A30-A49",2659,6392017,41.6,39.1
"Total","Census Region 4: West","CENS-R4","Arizona","04","2010","2010",,,2659,6392017,41.6,39.1
,"Census Region 4: West","CENS-R4","Arizona","04","2011","2011","Other bacterial diseases","A30-A49",2708,6482505,41.8,38.1
"Total","Census Region 4: West","CENS-R4","Arizona","04","2011","2011",,,2708,6482505,41.8,38.1
,"Census Region 4: West","CENS-R4","Arizona","04","2012","2012","Other bacterial diseases","A30-A49",2722,6553255,41.5,37.1
"Total","Census Region 4: West","CENS-R4","Arizona","04","2012","2012",,,2722,6553255,41.5,37.1
,"Census Region 4: West","CENS-R4","Arizona","04","2013","2013","Other bacterial diseases","A30-A49",2856,6626624,43.1,37.7
"Total","Census Region 4: West","CENS-R4","Arizona","04","2013","2013",,,2856,6626624,43.1,37.7
,"Census Region 4: West","CENS-R4","Arizona","04","2014","2014","Other bacterial diseases","A30-A49",3210,6731484,47.7,40.5
"Total","Census Region 4: West","CENS-R4","Arizona","04","2014","2014",,,3210,6731484,47.7,40.5
,"Census Region 4: West","CENS-R4","Arizona","04","2015","2015","Other bacterial diseases","A30-A49",3413,6828065,50.0,41.6
"Total","Census Region 4: West","CENS-R4","Arizona","04","2015","2015",,,3413,6828065,50.0,41.6
,"Census Region 4: West","CENS-R4","Arizona","04","2016","2016","Other bacterial diseases","A30-A49",3718,6931071,53.6,43.8
"Total","Census Region 4: West","CENS-R4","Arizona","04","2016","2016",,,3718,6931071,53.6,43.8
,"Census Region 4: West","CENS-R4","Arizona","04","2017","2017","Other bacterial diseases","A30-A49",3311,7016270,47.2,38.5
"Total","Census Region 4: West","CENS-R4","Arizona","04","2017","2017",,,3311,7016270,47.2,38.5
"Total","Census Region 4: West","CENS-R4","Arizona","04",,,,,24597,53561291,45.9,39.6
,"Census Region 4: West","CENS-R4","Colorado","08","2010","2010","Other bacterial diseases","A30-A49",1493,5029196,29.7,32.4
"Total","Census Region 4: West","CENS-R4","Colorado","08","2010","2010",,,1493,5029196,29.7,32.4
,"Census Region 4: West","CENS-R4","Colorado","08","2011","2011","Other bacterial diseases","A30-A49",1591,5116796,31.1,33.1
"Total","Census Region 4: West","CENS-R4","Colorado","08","2011","2011",,,1591,5116796,31.1,33.1
,"Census Region 4: West","CENS-R4","Colorado","08","2012","2012","Other bacterial diseases","A30-A49",1581,5187582,30.5,31.7
"Total","Census Region 4: West","CENS-R4","Colorado","08","2012","2012",,,1581,5187582,30.5,31.7
,"Census Region 4: West","CENS-R4","Colorado","08","2013","2013","Other bacterial diseases","A30-A49",1711,5268367,32.5,33.2
"Total","Census Region 4: West","CENS-R4","Colorado","08","2013","2013",,,1711,5268367,32.5,33.2
,"Census Region 4: West","CENS-R4","Colorado","08","2014","2014","Other bacterial diseases","A30-A49",1920,5355866,35.8,35.9
"Total","Census Region 4: West","CENS-R4","Colorado","08","2014","2014",,,1920,5355866,35.8,35.9
,"Census Region 4: West","CENS-R4","Colorado","08","2015","2015","Other bacterial diseases","A30-A49",2064,5456574,37.8,37.5
"Total","Census Region 4: West","CENS-R4","Colorado","08","2015","2015",,,2064,5456574,37.8,37.5
,"Census Region 4: West","CENS-R4","Colorado","08","2016","2016","Other bacterial diseases","A30-A49",2207,5540545,39.8,39.1
"Total","Census Region 4: West","CENS-R4","Colorado","08","2016","2016",,,2207,5540545,39.8,39.1
,"Census Region 4: West","CENS-R4","Colorado","08","2017","2017","Other bacterial diseases","A30-A49",2537,5607154,45.2,43.6
"Total","Census Region 4: West","CENS-R4","Colorado","08","2017","2017",,,2537,5607154,45.2,43.6
"Total","Census Region 4: West","CENS-R4","Colorado","08",,,,,15104,42562080,35.5,36.0
,"Census Region 4: West","CENS-R4","Idaho","16","2010","2010","Other bacterial diseases","A30-A49",479,1567582,30.6,30.3
"Total","Census Region 4: West","CENS-R4","Idaho","16","2010","2010",,,479,1567582,30.6,30.3
,"Census Region 4: West","CENS-R4","Idaho","16","2011","2011","Other bacterial diseases","A30-A49",531,1584985,33.5,32.8
"Total","Census Region 4: West","CENS-R4","Idaho","16","2011","2011",,,531,1584985,33.5,32.8
,"Census Region 4: West","CENS-R4","Idaho","16","2012","2012","Other bacterial diseases","A30-A49",544,1595728,34.1,32.7
"Total","Census Region 4: West","CENS-R4","Idaho","16","2012","2012",,,544,1595728,34.1,32.7
,"Census Region 4: West","CENS-R4","Idaho","16","2013","2013","Other bacterial diseases","A30-A49",606,1612136,37.6,35.3
"Total","Census Region 4: West","CENS-R4","Idaho","16","2013","2013",,,606,1612136,37.6,35.3
,"Census Region 4: West","CENS-R4","Idaho","16","2014","2014","Other bacterial diseases","A30-A49",608,1634464,37.2,34.8
"Total","Census Region 4: West","CENS-R4","Idaho","16","2014","2014",,,608,1634464,37.2,34.8
,"Census Region 4: West","CENS-R4","Idaho","16","2015","2015","Other bacterial diseases","A30-A49",669,1654930,40.4,36.9
"Total","Census Region 4: West","CENS-R4","Idaho","16","2015","2015",,,669,1654930,40.4,36.9
,"Census Region 4: West","CENS-R4","Idaho","16","2016","2016","Other bacterial diseases","A30-A49",657,1683140,39.0,35.1
"Total","Census Region 4: West","CENS-R4","Idaho","16","2016","2016",,,657,1683140,39.0,35.1
,"Census Region 4: West","CENS-R4","Idaho","16","2017","2017","Other bacterial diseases","A30-A49",738,1716943,43.0,38.5
"Total","Census Region 4: West","CENS-R4","Idaho","16","2017","2017",,,738,1716943,43.0,38.5
"Total","Census Region 4: West","CENS-R4","Idaho","16",,,,,4832,13049908,37.0,34.7
,"Census Region 4: West","CENS-R4","Montana","30","2010","2010","Other bacterial diseases","A30-A49",352,989415,35.6,30.0
"Total","Census Region 4: West","CENS-R4","Montana","30","2010","2010",,,352,989415,35.6,30.0
,"Census Region 4: West","CENS-R4","Montana","30","2011","2011","Other bacterial diseases","A30-A49",337,998199,33.8,28.4
"Total","Census Region 4: West","CENS-R4","Montana","30","2011","2011",,,337,998199,33.8,28.4
,"Census Region 4: West","CENS-R4","Montana","30","2012","2012","Other bacterial diseases","A30-A49",328,1005141,32.6,26.8
"Total","Census Region 4: West","CENS-R4","Montana","30","2012","2012",,,328,1005141,32.6,26.8
,"Census Region 4: West","CENS-R4","Montana","30","2013","2013","Other bacterial diseases","A30-A49",422,1015165,41.6,33.6
"Total","Census Region 4: West","CENS-R4","Montana","30","2013","2013",,,422,1015165,41.6,33.6
,"Census Region 4: West","CENS-R4","Montana","30","2014","2014","Other bacterial diseases","A30-A49",441,1023579,43.1,34.1
"Total","Census Region 4: West","CENS-R4","Montana","30","2014","2014",,,441,1023579,43.1,34.1
,"Census Region 4: West","CENS-R4","Montana","30","2015","2015","Other bacterial diseases","A30-A49",501,1032949,48.5,38.1
"Total","Census Region 4: West","CENS-R4","Montana","30","2015","2015",,,501,1032949,48.5,38.1
,"Census Region 4: West","CENS-R4","Montana","30","2016","2016","Other bacterial diseases","A30-A49",528,1042520,50.6,39.1
"Total","Census Region 4: West","CENS-R4","Montana","30","2016","2016",,,528,1042520,50.6,39.1
,"Census Region 4: West","CENS-R4","Montana","30","2017","2017","Other bacterial diseases","A30-A49",571,1050493,54.4,41.6
"Total","Census Region 4: West","CENS-R4","Montana","30","2017","2017",,,571,1050493,54.4,41.6
"Total","Census Region 4: West","CENS-R4","Montana","30",,,,,3480,8157461,42.7,34.2
,"Census Region 4: West","CENS-R4","Nevada","32","2010","2010","Other bacterial diseases","A30-A49",1419,2700551,52.5,56.4
"Total","Census Region 4: West","CENS-R4","Nevada","32","2010","2010",,,1419,2700551,52.5,56.4
,"Census Region 4: West","CENS-R4","Nevada","32","2011","2011","Other bacterial diseases","A30-A49",1437,2723322,52.8,54.1
"Total","Census Region 4: West","CENS-R4","Nevada","32","2011","2011",,,1437,2723322,52.8,54.1
,"Census Region 4: West","CENS-R4","Nevada","32","2012","2012","Other bacterial diseases","A30-A49",1335,2758931,48.4,48.9
"Total","Census Region 4: West","CENS-R4","Nevada","32","2012","2012",,,1335,2758931,48.4,48.9
