"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","New York","36","2010","2010","Renal failure","N17-N19",667,19378102,3.4,3.0
,"Census Region 1: Northeast","CENS-R1","New York","36","2011","2011","Other bacterial diseases","A30-A49",731,19465197,3.8,3.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2011","2011","Renal failure","N17-N19",736,19465197,3.8,3.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2012","2012","Other bacterial diseases","A30-A49",667,19570261,3.4,2.9
,"Census Region 1: Northeast","CENS-R1","New York","36","2012","2012","Renal failure","N17-N19",669,19570261,3.4,2.9
,"Census Region 1: Northeast","CENS-R1","New York","36","2013","2013","Other bacterial diseases","A30-A49",610,19651127,3.1,2.6
,"Census Region 1: Northeast","CENS-R1","New York","36","2013","2013","Renal failure","N17-N19",611,19651127,3.1,2.6
,"Census Region 1: Northeast","CENS-R1","New York","36","2014","2014","Other bacterial diseases","A30-A49",616,19746227,3.1,2.6
,"Census Region 1: Northeast","CENS-R1","New York","36","2014","2014","Renal failure","N17-N19",618,19746227,3.1,2.6
,"Census Region 1: Northeast","CENS-R1","New York","36","2015","2015","Other bacterial diseases","A30-A49",576,19795791,2.9,2.4
,"Census Region 1: Northeast","CENS-R1","New York","36","2015","2015","Renal failure","N17-N19",582,19795791,2.9,2.4
,"Census Region 1: Northeast","CENS-R1","New York","36","2016","2016","Other bacterial diseases","A30-A49",526,19745289,2.7,2.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2016","2016","Renal failure","N17-N19",529,19745289,2.7,2.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2017","2017","Other bacterial diseases","A30-A49",549,19849399,2.8,2.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2017","2017","Renal failure","N17-N19",550,19849399,2.8,2.2
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2010","2010","Other bacterial diseases","A30-A49",697,12702379,5.5,4.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2010","2010","Renal failure","N17-N19",698,12702379,5.5,4.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2011","2011","Other bacterial diseases","A30-A49",668,12742886,5.2,4.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2011","2011","Renal failure","N17-N19",671,12742886,5.3,4.1
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2012","2012","Other bacterial diseases","A30-A49",677,12763536,5.3,4.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2012","2012","Renal failure","N17-N19",682,12763536,5.3,4.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2013","2013","Other bacterial diseases","A30-A49",689,12773801,5.4,4.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2013","2013","Renal failure","N17-N19",691,12773801,5.4,4.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2014","2014","Other bacterial diseases","A30-A49",645,12787209,5.0,3.7
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2014","2014","Renal failure","N17-N19",646,12787209,5.1,3.7
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2015","2015","Other bacterial diseases","A30-A49",684,12802503,5.3,3.8
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2015","2015","Renal failure","N17-N19",688,12802503,5.4,3.9
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2016","2016","Other bacterial diseases","A30-A49",695,12784227,5.4,4.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2016","2016","Renal failure","N17-N19",699,12784227,5.5,4.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2017","2017","Other bacterial diseases","A30-A49",665,12805537,5.2,3.7
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2017","2017","Renal failure","N17-N19",670,12805537,5.2,3.8
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2010","2010","Other bacterial diseases","A30-A49",572,12830632,4.5,4.2
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2010","2010","Renal failure","N17-N19",572,12830632,4.5,4.2
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2011","2011","Other bacterial diseases","A30-A49",575,12869257,4.5,4.1
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2011","2011","Renal failure","N17-N19",578,12869257,4.5,4.1
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2012","2012","Other bacterial diseases","A30-A49",534,12875255,4.1,3.8
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2012","2012","Renal failure","N17-N19",536,12875255,4.2,3.8
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2013","2013","Other bacterial diseases","A30-A49",532,12882135,4.1,3.8
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2013","2013","Renal failure","N17-N19",533,12882135,4.1,3.8
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2014","2014","Other bacterial diseases","A30-A49",617,12880580,4.8,4.3
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2014","2014","Renal failure","N17-N19",621,12880580,4.8,4.3
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2015","2015","Other bacterial diseases","A30-A49",606,12859995,4.7,4.1
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2015","2015","Renal failure","N17-N19",609,12859995,4.7,4.2
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2016","2016","Other bacterial diseases","A30-A49",574,12801539,4.5,3.9
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2016","2016","Renal failure","N17-N19",575,12801539,4.5,3.9
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2017","2017","Other bacterial diseases","A30-A49",543,12802023,4.2,3.5
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2017","2017","Renal failure","N17-N19",544,12802023,4.2,3.5
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2010","2010","Other bacterial diseases","A30-A49",309,6483802,4.8,4.4
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2010","2010","Renal failure","N17-N19",308,6483802,4.8,4.4
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2011","2011","Other bacterial diseases","A30-A49",470,6516922,7.2,6.6
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2011","2011","Renal failure","N17-N19",474,6516922,7.3,6.7
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2012","2012","Other bacterial diseases","A30-A49",506,6537334,7.7,7.0
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2012","2012","Renal failure","N17-N19",508,6537334,7.8,7.1
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2013","2013","Other bacterial diseases","A30-A49",557,6570902,8.5,7.6
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2013","2013","Renal failure","N17-N19",565,6570902,8.6,7.7
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2014","2014","Other bacterial diseases","A30-A49",583,6596855,8.8,7.8
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2014","2014","Renal failure","N17-N19",592,6596855,9.0,7.9
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2015","2015","Other bacterial diseases","A30-A49",603,6619680,9.1,7.9
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2015","2015","Renal failure","N17-N19",609,6619680,9.2,8.0
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2016","2016","Other bacterial diseases","A30-A49",576,6633053,8.7,7.6
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2016","2016","Renal failure","N17-N19",579,6633053,8.7,7.6
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2017","2017","Other bacterial diseases","A30-A49",572,6666818,8.6,7.4
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2017","2017","Renal failure","N17-N19",581,6666818,8.7,7.5
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2010","2010","Other bacterial diseases","A30-A49",519,9883640,5.3,4.7
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2010","2010","Renal failure","N17-N19",526,9883640,5.3,4.7
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2011","2011","Other bacterial diseases","A30-A49",527,9876187,5.3,4.7
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2011","2011","Renal failure","N17-N19",542,9876187,5.5,4.8
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2012","2012","Other bacterial diseases","A30-A49",444,9883360,4.5,3.8
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2012","2012","Renal failure","N17-N19",451,9883360,4.6,3.9
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2013","2013","Other bacterial diseases","A30-A49",440,9895622,4.4,3.7
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2013","2013","Renal failure","N17-N19",443,9895622,4.5,3.7
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2014","2014","Other bacterial diseases","A30-A49",396,9909877,4.0,3.2
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2014","2014","Renal failure","N17-N19",402,9909877,4.1,3.3
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2015","2015","Other bacterial diseases","A30-A49",439,9922576,4.4,3.6
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2015","2015","Renal failure","N17-N19",443,9922576,4.5,3.6
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2016","2016","Other bacterial diseases","A30-A49",413,9928300,4.2,3.3
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2016","2016","Renal failure","N17-N19",414,9928300,4.2,3.3
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2017","2017","Other bacterial diseases","A30-A49",399,9962311,4.0,3.2
,"Census Region 2: Midwest","CENS-R2","Michigan","26","2017","2017","Renal failure","N17-N19",403,9962311,4.0,3.2
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2010","2010","Other bacterial diseases","A30-A49",638,11536504,5.5,4.8
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2010","2010","Renal failure","N17-N19",640,11536504,5.5,4.8
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2011","2011","Other bacterial diseases","A30-A49",607,11544951,5.3,4.5
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2011","2011","Renal failure","N17-N19",608,11544951,5.3,4.5
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2012","2012","Other bacterial diseases","A30-A49",601,11544225,5.2,4.4
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2012","2012","Renal failure","N17-N19",603,11544225,5.2,4.4
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2013","2013","Other bacterial diseases","A30-A49",586,11570808,5.1,4.3
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2013","2013","Renal failure","N17-N19",585,11570808,5.1,4.2
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2014","2014","Other bacterial diseases","A30-A49",572,11594163,4.9,4.0
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2014","2014","Renal failure","N17-N19",573,11594163,4.9,4.0
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2015","2015","Other bacterial diseases","A30-A49",557,11613423,4.8,3.9
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2015","2015","Renal failure","N17-N19",559,11613423,4.8,3.9
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2016","2016","Other bacterial diseases","A30-A49",580,11614373,5.0,3.9
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2016","2016","Renal failure","N17-N19",581,11614373,5.0,3.9
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2017","2017","Other bacterial diseases","A30-A49",515,11658609,4.4,3.5
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2017","2017","Renal failure","N17-N19",518,11658609,4.4,3.5
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2010","2010","Other bacterial diseases","A30-A49",240,5686986,4.2,3.7
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2010","2010","Renal failure","N17-N19",242,5686986,4.3,3.7
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2011","2011","Other bacterial diseases","A30-A49",229,5711767,4.0,3.5
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2011","2011","Renal failure","N17-N19",230,5711767,4.0,3.5
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2012","2012","Other bacterial diseases","A30-A49",238,5726398,4.2,3.5
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2012","2012","Renal failure","N17-N19",238,5726398,4.2,3.5
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2013","2013","Other bacterial diseases","A30-A49",236,5742713,4.1,3.5
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2013","2013","Renal failure","N17-N19",237,5742713,4.1,3.5
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2014","2014","Other bacterial diseases","A30-A49",287,5757564,5.0,4.0
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2014","2014","Renal failure","N17-N19",288,5757564,5.0,4.0
