"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2013","2013","Renal failure","N17-N19",118,626630,18.8,14.8
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2013","2013",,,118,626630,18.8,14.8
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2014","2014","Renal failure","N17-N19",128,626562,20.4,15.7
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2014","2014",,,128,626562,20.4,15.7
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2015","2015","Renal failure","N17-N19",117,626042,18.7,13.7
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2015","2015",,,117,626042,18.7,13.7
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2016","2016","Renal failure","N17-N19",101,624594,16.2,12.2
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2016","2016",,,101,624594,16.2,12.2
,"Census Region 1: Northeast","CENS-R1","Vermont","50","2017","2017","Renal failure","N17-N19",107,623657,17.2,12.6
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50","2017","2017",,,107,623657,17.2,12.6
"Total","Census Region 1: Northeast","CENS-R1","Vermont","50",,,,,910,5005668,18.2,14.0
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2010","2010","Renal failure","N17-N19",1802,8791894,20.5,17.8
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2010","2010",,,1802,8791894,20.5,17.8
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2011","2011","Renal failure","N17-N19",1742,8821155,19.7,16.9
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2011","2011",,,1742,8821155,19.7,16.9
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2012","2012","Renal failure","N17-N19",1624,8864590,18.3,15.5
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2012","2012",,,1624,8864590,18.3,15.5
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2013","2013","Renal failure","N17-N19",1690,8899339,19.0,15.8
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2013","2013",,,1690,8899339,19.0,15.8
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2014","2014","Renal failure","N17-N19",1667,8938175,18.7,15.3
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2014","2014",,,1667,8938175,18.7,15.3
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2015","2015","Renal failure","N17-N19",1601,8958013,17.9,14.6
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2015","2015",,,1601,8958013,17.9,14.6
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2016","2016","Renal failure","N17-N19",1670,8944469,18.7,15.1
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2016","2016",,,1670,8944469,18.7,15.1
,"Census Region 1: Northeast","CENS-R1","New Jersey","34","2017","2017","Renal failure","N17-N19",1705,9005644,18.9,15.0
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34","2017","2017",,,1705,9005644,18.9,15.0
"Total","Census Region 1: Northeast","CENS-R1","New Jersey","34",,,,,13501,71223279,19.0,15.7
,"Census Region 1: Northeast","CENS-R1","New York","36","2010","2010","Renal failure","N17-N19",3044,19378102,15.7,13.6
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2010","2010",,,3044,19378102,15.7,13.6
