"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2022","2022","Renal failure","N17-N19",4916,11756058,41.8,31.8
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2023","2023","Renal failure","N17-N19",4224,11785935,35.8,27.4
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2024 (provisional)","2024","Renal failure","N17-N19",4545,11883304,38.2,28.7
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2025 (provisional and partial)","2025","Renal failure","N17-N19",4596,11883304,38.7,29.0
,"Census Region 2: Midwest","CENS-R2","Ohio","39","2026 (provisional and partial)","2026","Renal failure","N17-N19",253,11883304,2.1,1.6
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2018","2018","Renal failure","N17-N19",1228,5813568,21.1,16.4
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2019","2019","Renal failure","N17-N19",1232,5822434,21.2,16.2
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2020","2020","Renal failure","N17-N19",1433,5832655,24.6,18.5
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2021","2021","Renal failure","N17-N19",1992,5895908,33.8,26.8
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2022","2022","Renal failure","N17-N19",2444,5892539,41.5,31.2
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2023","2023","Renal failure","N17-N19",2286,5910955,38.7,29.0
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2024 (provisional)","2024","Renal failure","N17-N19",2168,5960975,36.4,26.7
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2025 (provisional and partial)","2025","Renal failure","N17-N19",2299,5960975,38.6,28.4
,"Census Region 2: Midwest","CENS-R2","Wisconsin","55","2026 (provisional and partial)","2026","Renal failure","N17-N19",106,5960975,1.8,1.3
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2018","2018","Renal failure","N17-N19",715,3156145,22.7,16.9
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2019","2019","Renal failure","N17-N19",713,3155070,22.6,16.9
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2020","2020","Renal failure","N17-N19",947,3163561,29.9,22.3
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2021","2021","Renal failure","N17-N19",1096,3193079,34.3,26.8
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2022","2022","Renal failure","N17-N19",1353,3200517,42.3,32.1
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2023","2023","Renal failure","N17-N19",1141,3207004,35.6,26.4
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2024 (provisional)","2024","Renal failure","N17-N19",1139,3241488,35.1,25.8
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2025 (provisional and partial)","2025","Renal failure","N17-N19",1121,3241488,34.6,25.4
,"Census Region 2: Midwest","CENS-R2","Iowa","19","2026 (provisional and partial)","2026","Renal failure","N17-N19",75,3241488,2.3,1.7
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2018","2018","Renal failure","N17-N19",748,2911505,25.7,20.8
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2019","2019","Renal failure","N17-N19",705,2913314,24.2,19.3
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2020","2020","Renal failure","N17-N19",795,2913805,27.3,21.6
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2021","2021","Renal failure","N17-N19",1053,2934582,35.9,29.5
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2022","2022","Renal failure","N17-N19",1256,2937150,42.8,34.2
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2023","2023","Renal failure","N17-N19",1076,2940546,36.6,29.6
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2024 (provisional)","2024","Renal failure","N17-N19",1050,2970606,35.3,27.9
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2025 (provisional and partial)","2025","Renal failure","N17-N19",1233,2970606,41.5,32.9
,"Census Region 2: Midwest","CENS-R2","Kansas","20","2026 (provisional and partial)","2026","Renal failure","N17-N19",66,2970606,2.2,1.7
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2018","2018","Renal failure","N17-N19",953,5611179,17.0,13.7
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2019","2019","Renal failure","N17-N19",905,5639632,16.0,12.9
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2020","2020","Renal failure","N17-N19",1098,5657342,19.4,15.5
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2021","2021","Renal failure","N17-N19",1644,5707390,28.8,23.6
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2022","2022","Renal failure","N17-N19",2013,5717184,35.2,27.6
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2023","2023","Renal failure","N17-N19",1801,5737915,31.4,24.7
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2024 (provisional)","2024","Renal failure","N17-N19",1822,5793151,31.5,24.0
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2025 (provisional and partial)","2025","Renal failure","N17-N19",1813,5793151,31.3,24.0
,"Census Region 2: Midwest","CENS-R2","Minnesota","27","2026 (provisional and partial)","2026","Renal failure","N17-N19",117,5793151,2.0,1.5
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2018","2018","Renal failure","N17-N19",1551,6126452,25.3,19.8
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2019","2019","Renal failure","N17-N19",1384,6137428,22.6,17.4
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2020","2020","Renal failure","N17-N19",1803,6151548,29.3,22.4
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2021","2021","Renal failure","N17-N19",2295,6168187,37.2,29.6
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2022","2022","Renal failure","N17-N19",2822,6177957,45.7,35.2
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2023","2023","Renal failure","N17-N19",2618,6196156,42.3,32.5
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2024 (provisional)","2024","Renal failure","N17-N19",2521,6245466,40.4,30.6
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2025 (provisional and partial)","2025","Renal failure","N17-N19",2523,6245466,40.4,30.5
,"Census Region 2: Midwest","CENS-R2","Missouri","29","2026 (provisional and partial)","2026","Renal failure","N17-N19",164,6245466,2.6,2.0
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2018","2018","Renal failure","N17-N19",456,1929268,23.6,19.6
