"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"2023","2023","Other bacterial diseases","A30-A49","5-9 years","5-9",15,20152757,0.1,0.0,0.1
,"2023","2023","Other bacterial diseases","A30-A49","10-14 years","10-14",14,20834564,0.1,0.0,0.1
,"2023","2023","Other bacterial diseases","A30-A49","15-19 years","15-19",16,22075480,0.1,0.0,0.1
,"2023","2023","Other bacterial diseases","A30-A49","20-24 years","20-24",56,21811172,0.3,0.2,0.3
,"2023","2023","Other bacterial diseases","A30-A49","25-29 years","25-29",121,22018360,0.5,0.5,0.6
,"2023","2023","Other bacterial diseases","A30-A49","30-34 years","30-34",262,23524156,1.1,1.0,1.2
,"2023","2023","Other bacterial diseases","A30-A49","35-39 years","35-39",428,22506644,1.9,1.7,2.1
,"2023","2023","Other bacterial diseases","A30-A49","40-44 years","40-44",616,21884049,2.8,2.6,3.0
,"2023","2023","Other bacterial diseases","A30-A49","45-49 years","45-49",866,19817010,4.4,4.1,4.7
,"2023","2023","Other bacterial diseases","A30-A49","50-54 years","50-54",1329,20676771,6.4,6.1,6.8
,"2023","2023","Other bacterial diseases","A30-A49","55-59 years","55-59",2136,20606257,10.4,9.9,10.8
,"2023","2023","Other bacterial diseases","A30-A49","60-64 years ","60-64",3388,21248154,15.9,15.4,16.5
,"2023","2023","Other bacterial diseases","A30-A49","65-69 years","65-69",4235,19150728,22.1,21.4,22.8
,"2023","2023","Other bacterial diseases","A30-A49","70-74 years","70-74",4932,15534556,31.7,30.9,32.6
,"2023","2023","Other bacterial diseases","A30-A49","75-79 years","75-79",5490,11387417,48.2,46.9,49.5
,"2023","2023","Other bacterial diseases","A30-A49","80-84 years","80-84",4864,6980680,69.7,67.7,71.6
,"2023","2023","Other bacterial diseases","A30-A49","85-89 years","85-89",4011,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Other bacterial diseases","A30-A49","90-94 years","90-94",2399,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Other bacterial diseases","A30-A49","95-99 years","95-99",827,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Other bacterial diseases","A30-A49","100+ years","100+",133,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","Other bacterial diseases","A30-A49",,,36173,334914895,10.8,10.7,10.9
,"2023","2023","Renal failure","N17-N19","< 1 year","1",21,3648654,0.6,0.4,0.9
,"2023","2023","Renal failure","N17-N19","1-4 years","1-4",14,14862506,0.1,0.1,0.2
,"2023","2023","Renal failure","N17-N19","5-9 years","5-9",15,20152757,0.1,0.0,0.1
,"2023","2023","Renal failure","N17-N19","10-14 years","10-14",14,20834564,0.1,0.0,0.1
,"2023","2023","Renal failure","N17-N19","15-19 years","15-19",16,22075480,0.1,0.0,0.1
,"2023","2023","Renal failure","N17-N19","20-24 years","20-24",58,21811172,0.3,0.2,0.3
,"2023","2023","Renal failure","N17-N19","25-29 years","25-29",124,22018360,0.6,0.5,0.7
,"2023","2023","Renal failure","N17-N19","30-34 years","30-34",265,23524156,1.1,1.0,1.3
,"2023","2023","Renal failure","N17-N19","35-39 years","35-39",434,22506644,1.9,1.7,2.1
,"2023","2023","Renal failure","N17-N19","40-44 years","40-44",623,21884049,2.8,2.6,3.1
,"2023","2023","Renal failure","N17-N19","45-49 years","45-49",878,19817010,4.4,4.1,4.7
,"2023","2023","Renal failure","N17-N19","50-54 years","50-54",1349,20676771,6.5,6.2,6.9
