"Notes","Year","Year Code","Place of Death","Place of Death Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"2016","2016","Other","7","Other bacterial diseases","A30-A49",106,Not Applicable,Not Applicable,Not Applicable
,"2016","2016","Other","7","Renal failure","N17-N19",109,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Medical Facility - Inpatient","1","Other bacterial diseases","A30-A49",16116,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Medical Facility - Inpatient","1","Renal failure","N17-N19",16361,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Medical Facility - Outpatient or ER","2","Other bacterial diseases","A30-A49",355,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Medical Facility - Outpatient or ER","2","Renal failure","N17-N19",359,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Decedent's home","4","Other bacterial diseases","A30-A49",358,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Decedent's home","4","Renal failure","N17-N19",361,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Hospice facility","5","Other bacterial diseases","A30-A49",740,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Hospice facility","5","Renal failure","N17-N19",748,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Nursing home/long term care","6","Other bacterial diseases","A30-A49",576,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Nursing home/long term care","6","Renal failure","N17-N19",583,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Other","7","Other bacterial diseases","A30-A49",94,Not Applicable,Not Applicable,Not Applicable
,"2017","2017","Other","7","Renal failure","N17-N19",96,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
