"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Census Region 3: South","CENS-R3","Oklahoma","40","2023","2023","Other bacterial diseases","A30-A49",3311,4053824,81.7,78.9,84.5,69.2,66.8,71.7
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2023","2023",,,3311,4053824,81.7,78.9,84.5,69.2,66.8,71.7
,"Census Region 3: South","CENS-R3","Oklahoma","40","2024","2024","Other bacterial diseases","A30-A49",3440,4095393,84.0,81.2,86.8,70.4,68.0,72.8
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2024","2024",,,3440,4095393,84.0,81.2,86.8,70.4,68.0,72.8
,"Census Region 3: South","CENS-R3","Oklahoma","40","2025 (provisional)","2025","Other bacterial diseases","A30-A49",3047,4095393,74.4,71.8,77.0,62.1,59.9,64.4
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2025 (provisional)","2025",,,3047,4095393,74.4,71.8,77.0,62.1,59.9,64.4
,"Census Region 3: South","CENS-R3","Oklahoma","40","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",225,4095393,5.5,4.8,6.2,4.6,4.0,5.3
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2026 (provisional and partial)","2026",,,225,4095393,5.5,4.8,6.2,4.6,4.0,5.3
"Total","Census Region 3: South","CENS-R3","Oklahoma","40",,,,,29017,36227275,80.1,79.2,81.0,67.4,66.6,68.2
,"Census Region 3: South","CENS-R3","Texas","48","2018","2018","Other bacterial diseases","A30-A49",18604,28701845,64.8,63.9,65.7,66.6,65.6,67.6
"Total","Census Region 3: South","CENS-R3","Texas","48","2018","2018",,,18604,28701845,64.8,63.9,65.7,66.6,65.6,67.6
,"Census Region 3: South","CENS-R3","Texas","48","2019","2019","Other bacterial diseases","A30-A49",17057,28995881,58.8,57.9,59.7,59.5,58.6,60.4
"Total","Census Region 3: South","CENS-R3","Texas","48","2019","2019",,,17057,28995881,58.8,57.9,59.7,59.5,58.6,60.4
,"Census Region 3: South","CENS-R3","Texas","48","2020","2020","Other bacterial diseases","A30-A49",21752,29360759,74.1,73.1,75.1,73.5,72.5,74.4
"Total","Census Region 3: South","CENS-R3","Texas","48","2020","2020",,,21752,29360759,74.1,73.1,75.1,73.5,72.5,74.4
,"Census Region 3: South","CENS-R3","Texas","48","2021","2021","Other bacterial diseases","A30-A49",23613,29527941,80.0,78.9,81.0,80.8,79.7,81.8
"Total","Census Region 3: South","CENS-R3","Texas","48","2021","2021",,,23613,29527941,80.0,78.9,81.0,80.8,79.7,81.8
,"Census Region 3: South","CENS-R3","Texas","48","2022","2022","Other bacterial diseases","A30-A49",19823,30029572,66.0,65.1,66.9,65.5,64.6,66.5
"Total","Census Region 3: South","CENS-R3","Texas","48","2022","2022",,,19823,30029572,66.0,65.1,66.9,65.5,64.6,66.5
,"Census Region 3: South","CENS-R3","Texas","48","2023","2023","Other bacterial diseases","A30-A49",18216,30503301,59.7,58.9,60.6,59.0,58.2,59.9
"Total","Census Region 3: South","CENS-R3","Texas","48","2023","2023",,,18216,30503301,59.7,58.9,60.6,59.0,58.2,59.9
,"Census Region 3: South","CENS-R3","Texas","48","2024","2024","Other bacterial diseases","A30-A49",17796,31290831,56.9,56.0,57.7,55.5,54.7,56.3
"Total","Census Region 3: South","CENS-R3","Texas","48","2024","2024",,,17796,31290831,56.9,56.0,57.7,55.5,54.7,56.3
,"Census Region 3: South","CENS-R3","Texas","48","2025 (provisional)","2025","Other bacterial diseases","A30-A49",18282,31290831,58.4,57.6,59.3,56.8,56.0,57.7
"Total","Census Region 3: South","CENS-R3","Texas","48","2025 (provisional)","2025",,,18282,31290831,58.4,57.6,59.3,56.8,56.0,57.7
,"Census Region 3: South","CENS-R3","Texas","48","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",1605,31290831,5.1,4.9,5.4,5.0,4.8,5.3
"Total","Census Region 3: South","CENS-R3","Texas","48","2026 (provisional and partial)","2026",,,1605,31290831,5.1,4.9,5.4,5.0,4.8,5.3
"Total","Census Region 3: South","CENS-R3","Texas","48",,,,,156748,270991792,57.8,57.6,58.1,57.4,57.1,57.7
"Total","Census Region 3: South","CENS-R3",,,,,,,786271,1161061040,67.7,67.6,67.9,55.1,55.0,55.2
,"Census Region 4: West","CENS-R4","Arizona","04","2018","2018","Other bacterial diseases","A30-A49",2587,7171646,36.1,34.7,37.5,28.9,27.7,30.0
"Total","Census Region 4: West","CENS-R4","Arizona","04","2018","2018",,,2587,7171646,36.1,34.7,37.5,28.9,27.7,30.0
,"Census Region 4: West","CENS-R4","Arizona","04","2019","2019","Other bacterial diseases","A30-A49",2402,7278717,33.0,31.7,34.3,26.1,25.1,27.2
"Total","Census Region 4: West","CENS-R4","Arizona","04","2019","2019",,,2402,7278717,33.0,31.7,34.3,26.1,25.1,27.2
,"Census Region 4: West","CENS-R4","Arizona","04","2020","2020","Other bacterial diseases","A30-A49",3326,7421401,44.8,43.3,46.3,34.9,33.7,36.1
"Total","Census Region 4: West","CENS-R4","Arizona","04","2020","2020",,,3326,7421401,44.8,43.3,46.3,34.9,33.7,36.1
,"Census Region 4: West","CENS-R4","Arizona","04","2021","2021","Other bacterial diseases","A30-A49",3648,7276316,50.1,48.5,51.8,40.1,38.8,41.5
"Total","Census Region 4: West","CENS-R4","Arizona","04","2021","2021",,,3648,7276316,50.1,48.5,51.8,40.1,38.8,41.5
,"Census Region 4: West","CENS-R4","Arizona","04","2022","2022","Other bacterial diseases","A30-A49",3382,7359197,46.0,44.4,47.5,35.5,34.3,36.7
"Total","Census Region 4: West","CENS-R4","Arizona","04","2022","2022",,,3382,7359197,46.0,44.4,47.5,35.5,34.3,36.7
,"Census Region 4: West","CENS-R4","Arizona","04","2023","2023","Other bacterial diseases","A30-A49",3218,7431344,43.3,41.8,44.8,32.7,31.5,33.9
"Total","Census Region 4: West","CENS-R4","Arizona","04","2023","2023",,,3218,7431344,43.3,41.8,44.8,32.7,31.5,33.9
,"Census Region 4: West","CENS-R4","Arizona","04","2024","2024","Other bacterial diseases","A30-A49",3219,7582384,42.5,41.0,43.9,31.6,30.5,32.7
"Total","Census Region 4: West","CENS-R4","Arizona","04","2024","2024",,,3219,7582384,42.5,41.0,43.9,31.6,30.5,32.7
,"Census Region 4: West","CENS-R4","Arizona","04","2025 (provisional)","2025","Other bacterial diseases","A30-A49",3306,7582384,43.6,42.1,45.1,32.4,31.3,33.6
"Total","Census Region 4: West","CENS-R4","Arizona","04","2025 (provisional)","2025",,,3306,7582384,43.6,42.1,45.1,32.4,31.3,33.6
,"Census Region 4: West","CENS-R4","Arizona","04","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",242,7582384,3.2,2.8,3.6,2.3,2.0,2.7
"Total","Census Region 4: West","CENS-R4","Arizona","04","2026 (provisional and partial)","2026",,,242,7582384,3.2,2.8,3.6,2.3,2.0,2.7
"Total","Census Region 4: West","CENS-R4","Arizona","04",,,,,25330,66685773,38.0,37.5,38.5,29.2,28.9,29.6
,"Census Region 4: West","CENS-R4","Colorado","08","2018","2018","Other bacterial diseases","A30-A49",2536,5695564,44.5,42.8,46.3,42.4,40.7,44.1
"Total","Census Region 4: West","CENS-R4","Colorado","08","2018","2018",,,2536,5695564,44.5,42.8,46.3,42.4,40.7,44.1
,"Census Region 4: West","CENS-R4","Colorado","08","2019","2019","Other bacterial diseases","A30-A49",2426,5758736,42.1,40.5,43.8,39.0,37.5,40.6
"Total","Census Region 4: West","CENS-R4","Colorado","08","2019","2019",,,2426,5758736,42.1,40.5,43.8,39.0,37.5,40.6
,"Census Region 4: West","CENS-R4","Colorado","08","2020","2020","Other bacterial diseases","A30-A49",2967,5807719,51.1,49.2,52.9,46.5,44.8,48.3
"Total","Census Region 4: West","CENS-R4","Colorado","08","2020","2020",,,2967,5807719,51.1,49.2,52.9,46.5,44.8,48.3
,"Census Region 4: West","CENS-R4","Colorado","08","2021","2021","Other bacterial diseases","A30-A49",3365,5812069,57.9,55.9,59.9,53.8,52.0,55.7
"Total","Census Region 4: West","CENS-R4","Colorado","08","2021","2021",,,3365,5812069,57.9,55.9,59.9,53.8,52.0,55.7
,"Census Region 4: West","CENS-R4","Colorado","08","2022","2022","Other bacterial diseases","A30-A49",3341,5839926,57.2,55.3,59.1,51.1,49.3,52.9
"Total","Census Region 4: West","CENS-R4","Colorado","08","2022","2022",,,3341,5839926,57.2,55.3,59.1,51.1,49.3,52.9
,"Census Region 4: West","CENS-R4","Colorado","08","2023","2023","Other bacterial diseases","A30-A49",2942,5877610,50.1,48.2,51.9,44.8,43.2,46.5
"Total","Census Region 4: West","CENS-R4","Colorado","08","2023","2023",,,2942,5877610,50.1,48.2,51.9,44.8,43.2,46.5
,"Census Region 4: West","CENS-R4","Colorado","08","2024","2024","Other bacterial diseases","A30-A49",2749,5957493,46.1,44.4,47.9,40.2,38.7,41.7
"Total","Census Region 4: West","CENS-R4","Colorado","08","2024","2024",,,2749,5957493,46.1,44.4,47.9,40.2,38.7,41.7
,"Census Region 4: West","CENS-R4","Colorado","08","2025 (provisional)","2025","Other bacterial diseases","A30-A49",2776,5957493,46.6,44.9,48.3,40.7,39.2,42.3
"Total","Census Region 4: West","CENS-R4","Colorado","08","2025 (provisional)","2025",,,2776,5957493,46.6,44.9,48.3,40.7,39.2,42.3
,"Census Region 4: West","CENS-R4","Colorado","08","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",285,5957493,4.8,4.2,5.3,4.2,3.7,4.7
"Total","Census Region 4: West","CENS-R4","Colorado","08","2026 (provisional and partial)","2026",,,285,5957493,4.8,4.2,5.3,4.2,3.7,4.7
"Total","Census Region 4: West","CENS-R4","Colorado","08",,,,,23387,52664103,44.4,43.8,45.0,40.0,39.5,40.5
,"Census Region 4: West","CENS-R4","Idaho","16","2018","2018","Other bacterial diseases","A30-A49",758,1754208,43.2,40.1,46.3,37.8,35.1,40.6
"Total","Census Region 4: West","CENS-R4","Idaho","16","2018","2018",,,758,1754208,43.2,40.1,46.3,37.8,35.1,40.6
,"Census Region 4: West","CENS-R4","Idaho","16","2019","2019","Other bacterial diseases","A30-A49",804,1787065,45.0,41.9,48.1,38.9,36.2,41.7
"Total","Census Region 4: West","CENS-R4","Idaho","16","2019","2019",,,804,1787065,45.0,41.9,48.1,38.9,36.2,41.7
,"Census Region 4: West","CENS-R4","Idaho","16","2020","2020","Other bacterial diseases","A30-A49",950,1826913,52.0,48.7,55.3,44.2,41.4,47.1
"Total","Census Region 4: West","CENS-R4","Idaho","16","2020","2020",,,950,1826913,52.0,48.7,55.3,44.2,41.4,47.1
,"Census Region 4: West","CENS-R4","Idaho","16","2021","2021","Other bacterial diseases","A30-A49",1054,1900923,55.4,52.1,58.8,49.3,46.3,52.4
"Total","Census Region 4: West","CENS-R4","Idaho","16","2021","2021",,,1054,1900923,55.4,52.1,58.8,49.3,46.3,52.4
,"Census Region 4: West","CENS-R4","Idaho","16","2022","2022","Other bacterial diseases","A30-A49",1027,1939033,53.0,49.7,56.2,44.7,42.0,47.6
"Total","Census Region 4: West","CENS-R4","Idaho","16","2022","2022",,,1027,1939033,53.0,49.7,56.2,44.7,42.0,47.6
,"Census Region 4: West","CENS-R4","Idaho","16","2023","2023","Other bacterial diseases","A30-A49",962,1964726,49.0,45.9,52.1,41.1,38.5,43.8
"Total","Census Region 4: West","CENS-R4","Idaho","16","2023","2023",,,962,1964726,49.0,45.9,52.1,41.1,38.5,43.8
,"Census Region 4: West","CENS-R4","Idaho","16","2024","2024","Other bacterial diseases","A30-A49",975,2001619,48.7,45.7,51.8,40.4,37.8,43.0
"Total","Census Region 4: West","CENS-R4","Idaho","16","2024","2024",,,975,2001619,48.7,45.7,51.8,40.4,37.8,43.0
,"Census Region 4: West","CENS-R4","Idaho","16","2025 (provisional)","2025","Other bacterial diseases","A30-A49",949,2001619,47.4,44.4,50.4,39.1,36.6,41.8
"Total","Census Region 4: West","CENS-R4","Idaho","16","2025 (provisional)","2025",,,949,2001619,47.4,44.4,50.4,39.1,36.6,41.8
,"Census Region 4: West","CENS-R4","Idaho","16","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",105,2001619,5.2,4.2,6.2,4.2,3.4,5.1
"Total","Census Region 4: West","CENS-R4","Idaho","16","2026 (provisional and partial)","2026",,,105,2001619,5.2,4.2,6.2,4.2,3.4,5.1
"Total","Census Region 4: West","CENS-R4","Idaho","16",,,,,7584,17177725,44.2,43.2,45.1,37.4,36.6,38.3
,"Census Region 4: West","CENS-R4","Montana","30","2018","2018","Other bacterial diseases","A30-A49",559,1062305,52.6,48.3,57.0,39.7,36.4,43.3
"Total","Census Region 4: West","CENS-R4","Montana","30","2018","2018",,,559,1062305,52.6,48.3,57.0,39.7,36.4,43.3
,"Census Region 4: West","CENS-R4","Montana","30","2019","2019","Other bacterial diseases","A30-A49",585,1068778,54.7,50.3,59.2,41.0,37.7,44.6
"Total","Census Region 4: West","CENS-R4","Montana","30","2019","2019",,,585,1068778,54.7,50.3,59.2,41.0,37.7,44.6
,"Census Region 4: West","CENS-R4","Montana","30","2020","2020","Other bacterial diseases","A30-A49",708,1080577,65.5,60.7,70.3,48.4,44.8,52.3
"Total","Census Region 4: West","CENS-R4","Montana","30","2020","2020",,,708,1080577,65.5,60.7,70.3,48.4,44.8,52.3
,"Census Region 4: West","CENS-R4","Montana","30","2021","2021","Other bacterial diseases","A30-A49",807,1104271,73.1,68.0,78.1,55.6,51.7,59.8
"Total","Census Region 4: West","CENS-R4","Montana","30","2021","2021",,,807,1104271,73.1,68.0,78.1,55.6,51.7,59.8
,"Census Region 4: West","CENS-R4","Montana","30","2022","2022","Other bacterial diseases","A30-A49",710,1122867,63.2,58.6,67.9,47.3,43.7,51.0
"Total","Census Region 4: West","CENS-R4","Montana","30","2022","2022",,,710,1122867,63.2,58.6,67.9,47.3,43.7,51.0
,"Census Region 4: West","CENS-R4","Montana","30","2023","2023","Other bacterial diseases","A30-A49",672,1132812,59.3,54.8,63.8,43.8,40.4,47.4
"Total","Census Region 4: West","CENS-R4","Montana","30","2023","2023",,,672,1132812,59.3,54.8,63.8,43.8,40.4,47.4
,"Census Region 4: West","CENS-R4","Montana","30","2024","2024","Other bacterial diseases","A30-A49",679,1137233,59.7,55.2,64.2,43.0,39.7,46.5
"Total","Census Region 4: West","CENS-R4","Montana","30","2024","2024",,,679,1137233,59.7,55.2,64.2,43.0,39.7,46.5
,"Census Region 4: West","CENS-R4","Montana","30","2025 (provisional)","2025","Other bacterial diseases","A30-A49",633,1137233,55.7,51.3,60.0,40.1,36.9,43.5
"Total","Census Region 4: West","CENS-R4","Montana","30","2025 (provisional)","2025",,,633,1137233,55.7,51.3,60.0,40.1,36.9,43.5
,"Census Region 4: West","CENS-R4","Montana","30","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",56,1137233,4.9,3.7,6.4,3.6,2.7,4.8
"Total","Census Region 4: West","CENS-R4","Montana","30","2026 (provisional and partial)","2026",,,56,1137233,4.9,3.7,6.4,3.6,2.7,4.8
"Total","Census Region 4: West","CENS-R4","Montana","30",,,,,5409,9983309,54.2,52.7,55.6,40.0,38.9,41.1
,"Census Region 4: West","CENS-R4","Nevada","32","2018","2018","Other bacterial diseases","A30-A49",1847,3034392,60.9,58.1,63.6,53.9,51.4,56.5
"Total","Census Region 4: West","CENS-R4","Nevada","32","2018","2018",,,1847,3034392,60.9,58.1,63.6,53.9,51.4,56.5
,"Census Region 4: West","CENS-R4","Nevada","32","2019","2019","Other bacterial diseases","A30-A49",1821,3080156,59.1,56.4,61.8,50.9,48.5,53.3
"Total","Census Region 4: West","CENS-R4","Nevada","32","2019","2019",,,1821,3080156,59.1,56.4,61.8,50.9,48.5,53.3
,"Census Region 4: West","CENS-R4","Nevada","32","2020","2020","Other bacterial diseases","A30-A49",2369,3138259,75.5,72.4,78.5,63.3,60.7,66.0
"Total","Census Region 4: West","CENS-R4","Nevada","32","2020","2020",,,2369,3138259,75.5,72.4,78.5,63.3,60.7,66.0
,"Census Region 4: West","CENS-R4","Nevada","32","2021","2021","Other bacterial diseases","A30-A49",2626,3143991,83.5,80.3,86.7,71.9,69.1,74.8
"Total","Census Region 4: West","CENS-R4","Nevada","32","2021","2021",,,2626,3143991,83.5,80.3,86.7,71.9,69.1,74.8
,"Census Region 4: West","CENS-R4","Nevada","32","2022","2022","Other bacterial diseases","A30-A49",2456,3177772,77.3,74.2,80.3,64.3,61.7,67.0
"Total","Census Region 4: West","CENS-R4","Nevada","32","2022","2022",,,2456,3177772,77.3,74.2,80.3,64.3,61.7,67.0
,"Census Region 4: West","CENS-R4","Nevada","32","2023","2023","Other bacterial diseases","A30-A49",2166,3194176,67.8,65.0,70.7,55.7,53.4,58.2
"Total","Census Region 4: West","CENS-R4","Nevada","32","2023","2023",,,2166,3194176,67.8,65.0,70.7,55.7,53.4,58.2
,"Census Region 4: West","CENS-R4","Nevada","32","2024","2024","Other bacterial diseases","A30-A49",2060,3267467,63.0,60.3,65.8,51.1,48.9,53.4
"Total","Census Region 4: West","CENS-R4","Nevada","32","2024","2024",,,2060,3267467,63.0,60.3,65.8,51.1,48.9,53.4
,"Census Region 4: West","CENS-R4","Nevada","32","2025 (provisional)","2025","Other bacterial diseases","A30-A49",2106,3267467,64.5,61.7,67.2,52.1,49.9,54.4
"Total","Census Region 4: West","CENS-R4","Nevada","32","2025 (provisional)","2025",,,2106,3267467,64.5,61.7,67.2,52.1,49.9,54.4
,"Census Region 4: West","CENS-R4","Nevada","32","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",171,3267467,5.2,4.4,6.0,4.2,3.6,4.9
"Total","Census Region 4: West","CENS-R4","Nevada","32","2026 (provisional and partial)","2026",,,171,3267467,5.2,4.4,6.0,4.2,3.6,4.9
"Total","Census Region 4: West","CENS-R4","Nevada","32",,,,,17622,28571147,61.7,60.8,62.6,51.4,50.7,52.2
,"Census Region 4: West","CENS-R4","New Mexico","35","2018","2018","Other bacterial diseases","A30-A49",1278,2095428,61.0,57.6,64.3,49.6,46.8,52.5
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2018","2018",,,1278,2095428,61.0,57.6,64.3,49.6,46.8,52.5
,"Census Region 4: West","CENS-R4","New Mexico","35","2019","2019","Other bacterial diseases","A30-A49",1309,2096829,62.4,59.0,65.8,50.1,47.3,53.0
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2019","2019",,,1309,2096829,62.4,59.0,65.8,50.1,47.3,53.0
,"Census Region 4: West","CENS-R4","New Mexico","35","2020","2020","Other bacterial diseases","A30-A49",1599,2106319,75.9,72.2,79.6,61.1,58.0,64.3
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2020","2020",,,1599,2106319,75.9,72.2,79.6,61.1,58.0,64.3
,"Census Region 4: West","CENS-R4","New Mexico","35","2021","2021","Other bacterial diseases","A30-A49",1706,2115877,80.6,76.8,84.5,66.1,62.9,69.5
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2021","2021",,,1706,2115877,80.6,76.8,84.5,66.1,62.9,69.5
,"Census Region 4: West","CENS-R4","New Mexico","35","2022","2022","Other bacterial diseases","A30-A49",1670,2113344,79.0,75.2,82.8,62.3,59.3,65.5
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2022","2022",,,1670,2113344,79.0,75.2,82.8,62.3,59.3,65.5
,"Census Region 4: West","CENS-R4","New Mexico","35","2023","2023","Other bacterial diseases","A30-A49",1483,2114371,70.1,66.6,73.7,54.8,51.9,57.7
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2023","2023",,,1483,2114371,70.1,66.6,73.7,54.8,51.9,57.7
,"Census Region 4: West","CENS-R4","New Mexico","35","2024","2024","Other bacterial diseases","A30-A49",1461,2130256,68.6,65.1,72.1,52.1,49.4,55.0
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2024","2024",,,1461,2130256,68.6,65.1,72.1,52.1,49.4,55.0
,"Census Region 4: West","CENS-R4","New Mexico","35","2025 (provisional)","2025","Other bacterial diseases","A30-A49",1360,2130256,63.8,60.4,67.2,47.9,45.3,50.6
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2025 (provisional)","2025",,,1360,2130256,63.8,60.4,67.2,47.9,45.3,50.6
,"Census Region 4: West","CENS-R4","New Mexico","35","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",128,2130256,6.0,5.0,7.0,4.5,3.7,5.4
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2026 (provisional and partial)","2026",,,128,2130256,6.0,5.0,7.0,4.5,3.7,5.4
"Total","Census Region 4: West","CENS-R4","New Mexico","35",,,,,11994,19032936,63.0,61.9,64.1,49.6,48.7,50.5
,"Census Region 4: West","CENS-R4","Utah","49","2018","2018","Other bacterial diseases","A30-A49",1104,3161105,34.9,32.9,37.0,40.7,38.3,43.2
"Total","Census Region 4: West","CENS-R4","Utah","49","2018","2018",,,1104,3161105,34.9,32.9,37.0,40.7,38.3,43.2
,"Census Region 4: West","CENS-R4","Utah","49","2019","2019","Other bacterial diseases","A30-A49",1135,3205958,35.4,33.3,37.5,41.0,38.6,43.5
"Total","Census Region 4: West","CENS-R4","Utah","49","2019","2019",,,1135,3205958,35.4,33.3,37.5,41.0,38.6,43.5
,"Census Region 4: West","CENS-R4","Utah","49","2020","2020","Other bacterial diseases","A30-A49",1391,3249879,42.8,40.6,45.1,48.6,46.0,51.2
"Total","Census Region 4: West","CENS-R4","Utah","49","2020","2020",,,1391,3249879,42.8,40.6,45.1,48.6,46.0,51.2
,"Census Region 4: West","CENS-R4","Utah","49","2021","2021","Other bacterial diseases","A30-A49",1531,3337975,45.9,43.6,48.2,53.1,50.4,55.9
"Total","Census Region 4: West","CENS-R4","Utah","49","2021","2021",,,1531,3337975,45.9,43.6,48.2,53.1,50.4,55.9
,"Census Region 4: West","CENS-R4","Utah","49","2022","2022","Other bacterial diseases","A30-A49",1388,3380800,41.1,38.9,43.2,46.4,44.0,49.0
"Total","Census Region 4: West","CENS-R4","Utah","49","2022","2022",,,1388,3380800,41.1,38.9,43.2,46.4,44.0,49.0
,"Census Region 4: West","CENS-R4","Utah","49","2023","2023","Other bacterial diseases","A30-A49",1339,3417734,39.2,37.1,41.3,44.6,42.2,47.1
"Total","Census Region 4: West","CENS-R4","Utah","49","2023","2023",,,1339,3417734,39.2,37.1,41.3,44.6,42.2,47.1
,"Census Region 4: West","CENS-R4","Utah","49","2024","2024","Other bacterial diseases","A30-A49",1379,3503613,39.4,37.3,41.4,44.8,42.4,47.2
"Total","Census Region 4: West","CENS-R4","Utah","49","2024","2024",,,1379,3503613,39.4,37.3,41.4,44.8,42.4,47.2
,"Census Region 4: West","CENS-R4","Utah","49","2025 (provisional)","2025","Other bacterial diseases","A30-A49",1271,3503613,36.3,34.3,38.3,40.9,38.7,43.3
"Total","Census Region 4: West","CENS-R4","Utah","49","2025 (provisional)","2025",,,1271,3503613,36.3,34.3,38.3,40.9,38.7,43.3
,"Census Region 4: West","CENS-R4","Utah","49","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",127,3503613,3.6,3.0,4.3,4.2,3.5,5.0
"Total","Census Region 4: West","CENS-R4","Utah","49","2026 (provisional and partial)","2026",,,127,3503613,3.6,3.0,4.3,4.2,3.5,5.0
"Total","Census Region 4: West","CENS-R4","Utah","49",,,,,10665,30264290,35.2,34.6,35.9,40.2,39.4,41.0
,"Census Region 4: West","CENS-R4","Wyoming","56","2018","2018","Other bacterial diseases","A30-A49",344,577737,59.5,53.3,65.8,49.9,44.7,55.7
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2018","2018",,,344,577737,59.5,53.3,65.8,49.9,44.7,55.7
,"Census Region 4: West","CENS-R4","Wyoming","56","2019","2019","Other bacterial diseases","A30-A49",263,578759,45.4,39.9,50.9,37.5,33.0,42.5
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2019","2019",,,263,578759,45.4,39.9,50.9,37.5,33.0,42.5
,"Census Region 4: West","CENS-R4","Wyoming","56","2020","2020","Other bacterial diseases","A30-A49",346,582328,59.4,53.2,65.7,47.0,42.1,52.5
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2020","2020",,,346,582328,59.4,53.2,65.7,47.0,42.1,52.5
,"Census Region 4: West","CENS-R4","Wyoming","56","2021","2021","Other bacterial diseases","A30-A49",418,578803,72.2,65.3,79.1,60.0,54.2,66.3
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2021","2021",,,418,578803,72.2,65.3,79.1,60.0,54.2,66.3
,"Census Region 4: West","CENS-R4","Wyoming","56","2022","2022","Other bacterial diseases","A30-A49",383,581381,65.9,59.3,72.5,51.6,46.5,57.3
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2022","2022",,,383,581381,65.9,59.3,72.5,51.6,46.5,57.3
,"Census Region 4: West","CENS-R4","Wyoming","56","2023","2023","Other bacterial diseases","A30-A49",361,584057,61.8,55.4,68.2,48.7,43.7,54.2
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2023","2023",,,361,584057,61.8,55.4,68.2,48.7,43.7,54.2
,"Census Region 4: West","CENS-R4","Wyoming","56","2024","2024","Other bacterial diseases","A30-A49",401,587618,68.2,61.6,74.9,51.2,46.2,56.7
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2024","2024",,,401,587618,68.2,61.6,74.9,51.2,46.2,56.7
,"Census Region 4: West","CENS-R4","Wyoming","56","2025 (provisional)","2025","Other bacterial diseases","A30-A49",374,587618,63.6,57.2,70.1,49.4,44.4,55.0
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2025 (provisional)","2025",,,374,587618,63.6,57.2,70.1,49.4,44.4,55.0
,"Census Region 4: West","CENS-R4","Wyoming","56","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",44,587618,7.5,5.4,10.1,5.5,4.0,7.6
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2026 (provisional and partial)","2026",,,44,587618,7.5,5.4,10.1,5.5,4.0,7.6
"Total","Census Region 4: West","CENS-R4","Wyoming","56",,,,,2934,5245919,55.9,53.9,58.0,44.3,42.6,46.0
,"Census Region 4: West","CENS-R4","Alaska","02","2018","2018","Other bacterial diseases","A30-A49",266,737438,36.1,31.7,40.4,42.5,37.3,48.3
"Total","Census Region 4: West","CENS-R4","Alaska","02","2018","2018",,,266,737438,36.1,31.7,40.4,42.5,37.3,48.3
,"Census Region 4: West","CENS-R4","Alaska","02","2019","2019","Other bacterial diseases","A30-A49",289,731545,39.5,35.0,44.1,45.7,40.4,51.7
"Total","Census Region 4: West","CENS-R4","Alaska","02","2019","2019",,,289,731545,39.5,35.0,44.1,45.7,40.4,51.7
,"Census Region 4: West","CENS-R4","Alaska","02","2020","2020","Other bacterial diseases","A30-A49",290,731158,39.7,35.1,44.2,43.1,38.0,48.6
"Total","Census Region 4: West","CENS-R4","Alaska","02","2020","2020",,,290,731158,39.7,35.1,44.2,43.1,38.0,48.6
,"Census Region 4: West","CENS-R4","Alaska","02","2021","2021","Other bacterial diseases","A30-A49",333,732673,45.5,40.6,50.3,50.7,45.1,56.8
"Total","Census Region 4: West","CENS-R4","Alaska","02","2021","2021",,,333,732673,45.5,40.6,50.3,50.7,45.1,56.8
,"Census Region 4: West","CENS-R4","Alaska","02","2022","2022","Other bacterial diseases","A30-A49",384,733583,52.3,47.1,57.6,53.7,48.3,59.7
