"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
"Total","2012","2012",,,,,31275,313914040,10.0
,"2013","2013","Other bacterial diseases","A30-A49","20-24 years","20-24",35,22795438,0.2
,"2013","2013","Other bacterial diseases","A30-A49","25-29 years","25-29",55,21580198,0.3
,"2013","2013","Other bacterial diseases","A30-A49","30-34 years","30-34",91,21264389,0.4
,"2013","2013","Other bacterial diseases","A30-A49","35-39 years","35-39",128,19603770,0.7
,"2013","2013","Other bacterial diseases","A30-A49","40-44 years","40-44",247,20848920,1.2
,"2013","2013","Other bacterial diseases","A30-A49","45-49 years","45-49",384,21208306,1.8
,"2013","2013","Other bacterial diseases","A30-A49","50-54 years","50-54",763,22559226,3.4
,"2013","2013","Other bacterial diseases","A30-A49","55-59 years","55-59",1055,21194430,5.0
,"2013","2013","Other bacterial diseases","A30-A49","60-64 years ","60-64",1384,18122001,7.6
,"2013","2013","Other bacterial diseases","A30-A49","65-69 years","65-69",1601,14608717,11.0
,"2013","2013","Other bacterial diseases","A30-A49","70-74 years","70-74",1780,10608049,16.8
,"2013","2013","Other bacterial diseases","A30-A49","75-79 years","75-79",2109,7677881,27.5
,"2013","2013","Other bacterial diseases","A30-A49","80-84 years","80-84",2468,5768638,42.8
,"2013","2013","Other bacterial diseases","A30-A49","85-89 years","85-89",2359,Not Applicable,Not Applicable
,"2013","2013","Other bacterial diseases","A30-A49","90-94 years","90-94",1466,Not Applicable,Not Applicable
,"2013","2013","Other bacterial diseases","A30-A49","95-99 years","95-99",466,Not Applicable,Not Applicable
,"2013","2013","Other bacterial diseases","A30-A49","100+ years","100+",65,Not Applicable,Not Applicable
"Total","2013","2013","Other bacterial diseases","A30-A49",,,16479,316128839,5.2
,"2013","2013","Renal failure","N17-N19","20-24 years","20-24",35,22795438,0.2
,"2013","2013","Renal failure","N17-N19","25-29 years","25-29",57,21580198,0.3
